PaperID,lfdn,reasoning,Tag,level_1,level_2
272,108,Communication (and so culture) is a key concern in requirements engineering and such a study could help understand interesting aspects in this field,reason:relevance,reason,relevance
272,128,In my opinion we need to share and exchange more information related to the practices that we have been using in order to increase our performance and maturity level.,reason:relevance,reason,relevance
281,9,Any missed requirement can cause big harm in this kind of systems. This mens any method that could improve something is important.,reason:relevance,reason,relevance
284,104,"In recent years, users of systems have diversified. We think that it is necessary to consider various factors such as age, sex, living environment, and other factors that have a great influence on society.",reason:relevance,reason,relevance
289,125,It's important to understand how they do that currently,reason:relevance,reason,relevance
291,151,Because it's still an issue to define  good-enough  quality - especially in agile environments. It might be helpful to have a systematic approach for it.,reason:relevance,reason,relevance
302,15,This is what is all about: increasing quality and satisfy the needs and goals of stakeholder by using professional RE. Excellent specifications are a crucial foundation of nearly every development.,reason:relevance,reason,relevance
304,90,"It's quite dificult to specify unambiguous, de-idealized, and measurable NFRs. We usualy spend too much time.",reason:relevance,reason,relevance
306,113,The resources are always limited and it is essential to know which area that needs refactoring.,reason:relevance,reason,relevance
315,41,Role of software architect is on one hand very important but often neglected. Improving its visibility and impact is very important,reason:relevance,reason,relevance
330,37,prioritizing requirements is one of the most challenging tasks for REs ,reason:relevance,reason,relevance
339,62,Collaborative Requirements Engineering becomes very important as system complexity and multi-disciplinary engineering increases. Communication is essential in this paradigm shift away from isolated Requirements Specification by a few Req Engineers,reason:relevance,reason,relevance
350,13,"SoSs are typically highly complex and without a model-driven process it will be difficult, if not impossible, to provide comprehensive validation",reason:relevance,reason,relevance
354,82,I think the significant functional requirements are needed for identifying categories of probing questions.,reason:relevance,reason,relevance
364,17,last word in the descriptioni:  Communication : the most important thing that BAs and PMs do!,reason:relevance,reason,relevance
364,123,There is a tension between RE rigour and agile; understanding how this might be addressed in practice is critical for the future of RE,reason:relevance,reason,relevance
383,36,Performance ist always a very subjective requirement and thus specification is difficult. Many tools exist to monitor and test performance. However the right method and process to apply are difficult to define. ,reason:relevance,reason,relevance
384,132,"Next release planning is criticl decision to make, thus, having a rational method to analyse the risks with all stakeholders are always important. ",reason:relevance,reason,relevance
387,144,Currently we have many projects looking for innovation ,reason:relevance,reason,relevance
392,119,Techniques to better integrate product managers and business stakeholders with agile team dynamics are very much needed.,reason:relevance,reason,relevance
403,75,"Traceability is the base for analysis, prediction,... and a big challenge in many companies. If no traceability, no capacity to take the most of analyzing what is done.",reason:relevance,reason,relevance
407,7,It is a problem practitioners struggle with,reason:relevance,reason,relevance
413,20,"Practical problem, where I would love to know the outcome ",reason:relevance,reason,relevance
8,94,In order to gain a better understanding from the key stakeholders and their requirements for the software development.  It will ensure the stakeholders requirements are captured and can be followed as a marker for what needs to be produced/developed.,reason:plausibility,reason,plausibility
9,110,Ambiguities are a critical source of issues. An automatic double check could help.,reason:plausibility,reason,plausibility
10,148,"The more we know about a product, the more we can say about it. Existing experience can be taken as basis for a lessons learn and to identify changes that might be introduced in order to better design products in the future and to predict what can happen",reason:plausibility,reason,plausibility
13,27,Because uncertainty is where the trouble begins and the right adaptation strategies can reduce some sources of uncertainty which will always make the system better.,reason:plausibility,reason,plausibility
14,141,"These practices and artifacts are essential for our work, and are broadly applicable. Their ubiquity often means they are subject to unstated assumptions of their utility. Understanding how others have used them could provide insights into our own work. ",reason:plausibility,reason,plausibility
23,63,Personal experience shows that this exchange is both extremely helpful and rarely implemented systematically.,reason:plausibility,reason,plausibility
44,102,Understanding the applicability of commonly used techniques in different contexts is always helpful as it sharpens the own perception.,reason:plausibility,reason,plausibility
49,2,"In my experience, framing requirements as a constraint for a creative problem solving process yields better solutions. Any help with establishing and improving such practices will likely help the industry provide better solutions. ",reason:plausibility,reason,plausibility
63,111,(Formal) Verification trough models (thus in my opinion: formal) at Runtime can drastically improve RE and SysE,reason:plausibility,reason,plausibility
89,46,The survey would help to identify the types of constraints within a business culture or industry domain that prevent Business Analysts from applying their skills or being respected as peers ,reason:plausibility,reason,plausibility
91,146,Users are the source of the most significant requirements and easing feedback improves coupling from desire to result.,reason:plausibility,reason,plausibility
100,57,"Probably because in my working environment we are aware that we should do more about security but have little experience with it. If a method could help teams with little knowledge and experience in dealing with security, it would be extremely valuable.",reason:plausibility,reason,plausibility
105,105,Communication in and between teams are dificult. Think RE have a potentential to help.,reason:plausibility,reason,plausibility
107,51,I think the result of the study might be worth while looking into and a way to validate (or not validate) common used methods.,reason:plausibility,reason,plausibility
150,127,"We have a lot of old requirements that we do not know if they are outdated or not. These makes the number of requirements very large, so if we could find out which to update or remove by some automated method, we would gain much.",reason:plausibility,reason,plausibility
161,34,"Even though models are used extensively, most requirements are specified using natural language. The better we become at writing in natural language for specifications, the better outcomes we will achieve.",reason:plausibility,reason,plausibility
216,153,because it could improve the software design in terms of interoperability,reason:plausibility,reason,plausibility
221,43,Helps also to Identify dependent requirements and remove their side effects early in the process,reason:plausibility,reason,plausibility
224,26,To translate legal requirements into IT requirements needs a lot of translating effort between specialists; a formalized method would improve RE efficiency,reason:plausibility,reason,plausibility
258,40,In our classical projects (following the V-model) inconsitence is one of the biggest challanges. Any automatic approch that helps to identify inconsistencys or that completle avoid them is of big interest. ,reason:plausibility,reason,plausibility
258,134,runtime system feedback could help anysis system requirement.IT is important to keep them consistent.,reason:plausibility,reason,plausibility
265,122,"Many of the times, conflicted requirements and different interests among stakeholders can lead projects to fail. It would be very important if we could map these questions before.",reason:plausibility,reason,plausibility
272,108,Communication (and so culture) is a key concern in requirements engineering and such a study could help understand interesting aspects in this field,reason:plausibility,reason,plausibility
281,9,Any missed requirement can cause big harm in this kind of systems. This mens any method that could improve something is important.,reason:plausibility,reason,plausibility
291,151,Because it's still an issue to define  good-enough  quality - especially in agile environments. It might be helpful to have a systematic approach for it.,reason:plausibility,reason,plausibility
292,95,It helps to build bridges between business and IT (shared views).,reason:plausibility,reason,plausibility
324,11,"Misunderstandings and interpretations often lead to requirements defects. This effect could possibly be reduced by such a method. Furthermore, the effort for transformation can be significantly reduced.",reason:plausibility,reason,plausibility
340,8,This is the future way of development. And there is no process etc. on the market which could solve this topic,reason:plausibility,reason,plausibility
347,47,Unanticipated behaviour can occur very late after the system design it could be useful to identify them well in advance,reason:plausibility,reason,plausibility
362,54,Could be a strong boost to ease specification of features,reason:plausibility,reason,plausibility
364,123,There is a tension between RE rigour and agile; understanding how this might be addressed in practice is critical for the future of RE,reason:plausibility,reason,plausibility
375,93,I think an interview-based study can contribute to understanding about this theme. I believe the method is suitable in this context and can contribute a lot.I performed a qualitative study based on interviews and this study help me in my PhD research.,reason:plausibility,reason,plausibility
383,147,It could help to identify the characteristics of the hardware that it will be necesary to install or test for running the project,reason:plausibility,reason,plausibility
415,115,"Use of automation for processing large models really helps practitioners, saving time and allowing them to work more carefully in refinements (rather than on simple issues that would be caught easily by algorithms)",reason:plausibility,reason,plausibility
18,92,"the title sounds like advanced  RE  and further problem-solving -> only few articles/literature exist, especially in this combination",reason:originality,reason,originality
85,135,"We learned in the undergrad classes that the learned techniques are used in high risk software, but I haven't seen how it is used in my day to day work. So, it would be interesting to know.",reason:originality,reason,originality
235,59,"In my opinion, despite the efforts for aligning research interest with industrial needs, there is still a significant gap, in many areas, between them, so initiatives of this kind are quite appreciated. ",reason:originality,reason,originality
272,108,Communication (and so culture) is a key concern in requirements engineering and such a study could help understand interesting aspects in this field,reason:originality,reason,originality
310,6,Seems interesting,reason:originality,reason,originality
49,2,"In my experience, framing requirements as a constraint for a creative problem solving process yields better solutions. Any help with establishing and improving such practices will likely help the industry provide better solutions. ",source:experience,source,experience
82,66,I'm working in agile development environments. This items affects my work significantly.,source:experience,source,experience
85,135,"We learned in the undergrad classes that the learned techniques are used in high risk software, but I haven't seen how it is used in my day to day work. So, it would be interesting to know.",source:experience,source,experience
100,57,"Probably because in my working environment we are aware that we should do more about security but have little experience with it. If a method could help teams with little knowledge and experience in dealing with security, it would be extremely valuable.",source:experience,source,experience
201,118,This is an area and a topic I recognize from my work and the environment I am working in.,source:experience,source,experience
242,100,Coincide with my experience where time boundaries badly established due to random priorities is a  unnecessary pressure ,source:experience,source,experience
24,55,"in my opinion, testing ist very important and shoulb be consider at the beginning of an study too.",source:opinion,source,opinion
103,84,I think it's key to determine and share insight on what are the actual business risks (what is crucial and what is not),source:opinion,source,opinion
105,105,Communication in and between teams are dificult. Think RE have a potentential to help.,source:opinion,source,opinion
105,124,I think that communication in general is a success factor of a project; good communication drives to the right goals.,source:opinion,source,opinion
107,51,I think the result of the study might be worth while looking into and a way to validate (or not validate) common used methods.,source:opinion,source,opinion
235,59,"In my opinion, despite the efforts for aligning research interest with industrial needs, there is still a significant gap, in many areas, between them, so initiatives of this kind are quite appreciated. ",source:opinion,source,opinion
272,128,In my opinion we need to share and exchange more information related to the practices that we have been using in order to increase our performance and maturity level.,source:opinion,source,opinion
278,73,I strongly believe that requirements elicitation should be automated as much as possible to get the process standardized and avoid major mistakes.,source:opinion,source,opinion
284,104,"In recent years, users of systems have diversified. We think that it is necessary to consider various factors such as age, sex, living environment, and other factors that have a great influence on society.",source:opinion,source,opinion
342,68,"I feel that risk management is not always systematically performed, and it's results flown into requirements. A more integrated RM/RE approach would be useful to force structured activity performing and automate results conversion to requirements/actions.",source:opinion,source,opinion
354,82,I think the significant functional requirements are needed for identifying categories of probing questions.,source:opinion,source,opinion
375,93,I think an interview-based study can contribute to understanding about this theme. I believe the method is suitable in this context and can contribute a lot.I performed a qualitative study based on interviews and this study help me in my PhD research.,source:opinion,source,opinion
5,152,.,NotAnswered,NotAnswered,
