,summary,quality,people,process,documentation,SM_first,SM_second,SM_third,phase
29,An experience report on the development of a simulation tool for the communication along requirements modelling.,,communication,modeling,,,,,
30,An experience report on modeling a safety critical domain using a formal method in order to better understand its adequacy for domain engineering,,,formalization,,quality ====>,other ====>,safety,
31,A method for structuring a system so that critical requirements are localized in reliable subsets of its components in order to guarantee system's dependability largely by construction,,,,,quality ====>,other ====>,dependability,
32,"A document-driven study for refining, assessing and deriving lessons learned of a set of templates for requirements written in natural language",,,,natural language,,,,
33,A method for specifying confidentiality requirements in service level agreements in order to provide proof of being in control of outsourced IT assets,,,,,quality ====>,security,,documentation
34,A method for capturing and reusing patterns of knowledge on non-functional requirements in order to properly manage the large body of knowledge in this field,,,reuse,,quality ====>,generic,,
35,A method for using integer constraint programming to specify product line constraints in order to facilitate the configuration of a product,,,,,,,,
36,A method for eliciting business goals and linking them to quality requirements of the system in order to allow software architects to understand the business goals of the system,,,,,"goals, quality ====>",generic,,elicitation
37,A discussion on the need of future research on operationalizing requirements as runtime entities that can be reasoned over in order to support self-adaptation decisions,,,execution,,,,,
38,An experience report on the application of a requirements framework developed after a root cause analysis in order to enhance customer partnerships in an IT company,,collaboration,,,,,,
39,An experiment with students on investigating if human analysts make the right decisions when reviewing requirements traceability matrices generated by automated techniques,traceability,skills,"decision-making, automation",,,,,
40,"A method for generating requirements traceability matrices considering the unique properties of requirements, e.g. small datasets",traceability,,automation,,,,,
41,"A method for grading the implementation of use cases, features and requirements from a usability perspective in order to determine if a product meets its usability requirements",,,,use case,quality ====>,usability,,validation and verification
42,A modeling language for specifying the system and finding criteria to compare candidate solutions at the early phases of requirements engineering,,,modeling,,,,,documentation
43,A method for allowing end-users to document their needs in situ using their mobile devices in order to support end-user involvement in requirements elicitation,,,,,,,,elicitation
44,An online survey with practitioners on understanding what requirements elicitation and representation practices and techniques do not work well in China,,,,,,,,"documentation, elicitation"
45,"A case study on understanding the effects of system architectures on RE decisions, the characteristics of such decisions and their impact on development activities",,,decision-making,,,,,
46,An experience report on the lessons learned from two projects about the transition from classical development process into agile development,,,,,process,,,
47,A method for classifying ambiguities in natural language requirements and inform the analyst of the potentially dangerous cases in order to prompt further elicitation,unambiguousness,,,natural language,,,,elicitation
48,A multi-case study for a commitment analysis method that can be used to obtain requirements from policy documents in order to validate it,,,,,,,,"elicitation, validation and verification"
49,A vision for proposing the exploration and transfer from other disciplines of creative problem solving practices in order to frame RE as a creative problem solving process,,creativity,,,,,,
50,A case study on the application of a requirements negotiation and handover process in order to study its advantages with respect to requirements volatility and requirements understanding.,understandability,,,,process,,,negotiation
51,"A method for incorporating goals that are able to adapt along time into requirement models, which embed adaptation countermeasures that are triggered when goals are violated",,,execution,,goals,,,
52,A method for selecting the strategic release plan that is most robust against assumed changes in resource allocation and availability,,,,,,,,
53,A formal framework for expressing optional and preferred requirements and associated techniques to search for design alternatives that best satisfy the given preferences.,,,prioritization,,,,,
54,An experience report on the use of a requirements modeling language that relate informal operational concepts with formal simulation models in order to provide reasoning capabilities to such operational concepts,,,"formalization, modeling",,,,,
55,A case study for identifying success factors and challenges involved in persuading review teams to document inspections in order to improve defect discovering,,,quality assurance,review report,,,,
56,A method for extending automated analysis of natural language use cases to any other language in order to aggregate multilingual use cases in multi-national projects,,,automation,"natural language, use case",,,,
57,An experiment with students on manually recovering trace links between requirements and code in order to identify where requirements are implemented,traceability,,,,,,,
58,A method for identifying single- and multi-word terms that have a particular significance in a given domain in order to characterize the most salient features of the document in which they appear,,,,natural language,,,,
59,"An experiment with students for assessing a given constraint definition technique in order to improve the correctness, efficiency and user satisfaction when using meta-CASE tools.",,,automation,,,,,
60,An experiment with students on the inclusion of screen mockups in use cases in order to improve the understandability of functional requirements with no significant impact on effort.,understandability,,,use case,functional,,,
61,A case study for characterizing natural language processing techniques and compare their support in detecting equivalent requirements.,,,,natural language,,,,validation and verification
62,A method for analyzing product descriptions from publicly available online specifications in order to model and recommend product features for a given domain,,,,,feature,,,elicitation
63,A method for generating a probabilistic model from a set of requirements in order to verify system requirements at runtime,,,execution,,,,,validation and verification
64,A method for recovering a feature model from the existing software product line in order to reduce modeling effort,,,modeling,feature model,,,,
65,"A method for performing semi-automated checking of combined natural language and semi-formal requirements models in order to ensure their consistency, completeness and correctness","consistency, completeness",,automation,natural language,,,,validation and verification
66,A solution for automatically linking bug reports and committed changes in order to recover missing links,traceability,,automation,review report,,,,
67,"A method for prioritizing requirements considering several requirements characteristics, such as stakeholder preferences, technical constraints, implementation costs and user perceived value",,,prioritization,,,,,
68,A method for supporting use-case analysis that combines exemplary scenarios and general logical rules in order to allow gradually shifting from examples to the final system specification.,,,,"scenarios, use case",,,,
69,A case study for finding out whether a restricted English grammar can be applied in the automotive context in order to support automatic consistency checking,consistency,,automation,natural language,,,,
70,An industrial study based on questionnaires and interviews on the current industry needs concerning methodological support for requirements engineering in the embedded systems domain,,,,,process,,,
71,An experiment with students on a method to support creativity in requirements engineering in order to get evidence about its creativity enhancement potential,,creativity,,,,,,
72,A study based on experiments with students and a case study on the possible benefits of considering existing services and their alignment with requirements at a very early stage in order to exploit the desired benefits of reuse in service-oriented architectures,,,reuse,,architecture,,,
73,A case study on a requirements engineering improvement project consisting of a set of techniques applied to solve a handful of previously identified RE-related problems,,,,,process,,,
74,A method for identifying security-relevant requirements integrated in a workflow of requirements analysis in order to increase security awareness within the software development process,,,,,quality ====>,security,,elicitation
75,A method for analysing requirements on e-services from the service consumer's' perspective in order to make them fit smoothly into the service consumers' business processes,,,,,,,,
76,A case study for finding out which concepts of agile prioritization are shared in practice and in literature and how they are used to provide guidance for prioritization,,,prioritization,,,,,
77,"A document-driven study with practitioners and researchers for investigating if use cases are as effective as task descriptions with respect to completeness, correctness and understandability of emerging requirements","understandability, completeness",,,"other, use case",,,,
78,"An experience report on the use of tools and techniques for systematic elicitation, analysis and documentation of sustainability requirements in order to minimize negative environmental impact of the software under construction",,,,,quality ====>,other ====>,sustainability,"documentation, elicitation"
79,A method for identifying groups of similarly optimal solutions in order to support multi-objective decisions problems,,,decision-making,,,,,
80,A method for defining efficiently trace links among business application artifacts in order to decrease the developer's workload for setting trace links,traceability,,,,,,,
81,"An interview-based study with practitioners on communication gaps in large-scale industrial RE revealing scale, temporal aspects, common views, and decision structures as main factors that affect the requirements communication.",,communication,,,,,,
82,A method for developing specifications in quick iterations of analyzing and refining a formal specification in order to facilitate rapid evolution of specifications of system features.,,,"formalization, evolution",,"feature, process",,,documentation
83,A solution for quantifying the consequence of stopping RE too early in order to avoid avoidable scope creep.,,,,,process,,,management
84,A method for negotiating requirements induced by the selections of off-the-shelf components in order to prevent a selection of unsuited or inappropriate components,necessity,,decision-making,,,,,negotiation
85,An experience report on the state of the practice of requirements engineering in the nuclear energy domain in Finland,,,,,,,,
86,A method for simplifying overly complicated requirements in order to identify specification problems,,,other,,,,,
87,A method for semi-automatic extraction of feature models from natural language specifications in order to support requirements reuse.,,,"reuse, automation","natural language, feature model",,,,
88,A multi-case study on prioritization of quality requirements in 11 companies in order to help future research on quality requirements to focus investigations on industry-relevant issues,,,prioritization,,quality ====>,generic,,
89,An online-survey on factors that prevent business analysts from applying their requirements analysis knowledge in practice.,,skills,,,,,,validation and verification
90,A method for analyzing cross-references within legal regulations in order to address conflicting requirements.,consistency,,,other,quality ====>,other ====>,legal and regulations,validation and verification
91,A solution for enabling citizens to report problems with or making suggestions for a software system by smartphone in order to identify new requirements.,,,,review report,,,,elicitation
92,"A case study on the use of a classification of requirements change sources (e.g., market, organization, specification) in order to support change management, improve understanding and risk visibility.",understandability,,"other, evolution",,risk,,,management
93,A case study on the inability of students to assess whether requirements meet their corresponding legal obligations in order to motivate the need for domain experts and the potential utility of legal requirements metrics.,,skills,,,quality ====>,other ====>,legal and regulations,validation and verification
94,"A solution for extracting logical structures (e.g., use cases, business rules or functional requirements) from rich-text documents written in  general-purpose editors, such as MS Word in order to enable advanced requirements management features.",,,"automation, modeling",general,,,,management
95,"A multi-case study on assisted requirements tracing, a process in which an analyst validates candidate traces produced by an automated requirements tracing tool.",traceability,,automation,,,,,
96,An experience report on the efforts to identify and monitor requirements uncertainty at Rolls-Royce in order to reduce the risk of late rework.,uncertainty,,,,,,,
97,A method for simulating quantitative goal models in order to estimate the levels of goal satisfaction contributed by alternative system designs and optimize the system design.,,,,goal model,,,,validation and verification
98,A discussion on applying agile insights to requirements engineering activities in order to optimize allocation of resources to RE activities,,,,,process,,,management
99,A discussion and solution for examining organizational structures for power relationships in order to support decision-making processes.,,,decision-making,,,,,
100,A method for risk assessment in context of security requirements in order to guide the security argumentation in identifying rebuttals and mitigations for security requirements satisfaction.,,,,,"risk, quality ====>",security,,validation and verification
101,A method for analysing requirements for embedded systems in order to separate relevant from irrelevant context elements.,necessity,,,,,,,
102,An experience report on applying component-bus-system-properties in mobile applications in order to refine software requirements to software architectures.,,,other,,architecture,,,
103,A method for relaxing quality or functional requirements that are not crucial to the survival of a web system in order to increase the availability of a specific set of crucial services.,necessity,,,,"functional, quality ====>",,,
104,A method for eliciting requirements for context-adaptive systems based on observing anonymous users in order to increase the representativeness of the requirements.,,,,,,,,elicitation
105,A case study on roles and communication structures in a software team in order to investigate potential improvements of collaborations driven by requirements.,,"collaboration, communication",,,,,,
106,A method for automatically constructing models in order to predict which feature requests are most likely to fail due to insufficient or inadequate upfront analysis.,,,automation,review report,,,,
107,"An experience report on using traditional requirements engineering techniques, formal methods, and visual narratives to disambiguate natural language safety requirements of industrial standards.",unambiguousness,,standardization,natural language,quality ====>,other ====>,safety,
108,A method for finding desirable design solutions as the requirements change by reusing parts of old solutions in order to minimize the effort required to implement new solutions.,,,"reuse, evolution",,,,,
109,A discussion on the joint usage of i* goal models with other modeling frameworks in order to combine the advantages of goal-oriented RE with other paradigms,,,modeling,goal model,,,,
110,A discussion of the concepts of tracing across multiple disciplines in order to illustrate how existing practices in requirements tracing could be leveraged.,traceability,,,,,,,
111,An action research study on roadmapping problems of two software product companies in order to shift the focus of roadmapping from prioritization of software features to analysis and prioritization of customers' processes,,,"prioritization, other",,,,,
112,A set of four experiments with students on the impact of System Sequence Diagrams and System Operation Contracts in order to assess the quality of the system domain model,,,quality assurance,other,,,,
113,A method for generating a set of obstacle conditions corresponding to exceptional conditions that may obstruct system goals in order to detect missing requirements.,completeness,,,,goals,,,
114,A method for reasoning with partial models that capture uncertainty coming from multiple open choices in early specification stages in order to support modeling when requirements are still to be clarified,uncertainty,,"decision-making, modeling",,,,,
115,A method for automating the construction of traceability links for architectural tactics in order to support software maintenance and preserve architectural qualities,traceability,,automation,,"architecture, quality ====>",generic,,
116,"A method for transforming security policies expressed in natural language to a formal, processable form in order to detect inconsistencies in access control policies",consistency,,formalization,natural language,quality ====>,security,,
117,A method for conducting failure analysis of systems that consist of several interacting component in order to integrate FMEA and system modelling.,,,modeling,,quality ====>,other ====>,safety,validation and verification
118,An experience report on challenges and potential solutions of a supplier company with respect to tender processes.,,collaboration,,,process,,,
119,A template for systematically deriving requirements elicitation instructions in Application Engineering processes in order to elicit requirements more effectively,,,,,process,,,elicitation
120,A literature study on understanding the strengths and weaknesses of service description methods in order to allow developers selecting an appropriate description method that fits best their services,,,,other,,,,
121,A case study on planning the releases of an evolving software solution in the presence of low-quality input requirement in order to reduce release planning effort and increase decision-making flexibility,,,"decision-making, evolution",,,,,management
122,A multi-case study on the use of goal-oriented requirements engineering techniques to improve traceability among enterprise architectures and business goals ,traceability,,,goal model,architecture,,,
123,"A study with practitioners, researchers and students based on an experiment and interviews for understanding in which context do common traceability visualization techniques fit better and what information to visualize",traceability,,visualization,,,,,
124,A set of reusable queries for implementing a blueprint for traceability in safety-critical systems in order to comply with full life-cycle traceability as required by certification and regulatory agencies,traceability,,reuse,,quality ====>,other ====>,,
125,A modeling language for representing and analysing requirements for Self-Adaptive Systems in order to make them readable by non-engineering stakeholders,understandability,,modeling,,,,,validation and verification
126,A method for assessing the impact of changes in one requirement into other requirements in order to analyze the impact of requirement volatility on a project plan,,,other,,,,,management
127,"A literature study on the meaning of the word ""creativity"" in Social Sciences and Requirements Engineering in order to understand which kinds of creativity are relevant to a project and which creativity tools to use",,creativity,,,,,,
128,"A case study on the awareness and handling of non-functional requirements among software architects, and their effect on IT project success",,,,,quality ====>,generic,,
129,An interview-based study with practitioners on  how  functional  and  non-functional  requirement  mismatches are handled in Open Source Software adoption projects ,consistency,,,,"functional, quality ====>",generic,,
130,A case study on a failed governamental IT project in order to understand the causes of failure from a requirements perspective,,,,,,,,
131,"A method for aligning and reconciling requirements from multiple jurisdictions (municipalities, provinces, nations) in order to reduce the number of requirements a company must comply with.",,,,,,,,negotiation
132,"A method for individual users to express privacy preferences, which are then used to reason about privacy for each user in different contexts.",,,execution,,quality ====>,other ====>,privacy,
133,An experience report on two requirements reuse strategies applied in one company in order to compare savings in reduced effort by reusing common requirements.,,,reuse,,,,,
134,A solution for monitoring requirements in software systems by maintaining an instance of a state machine for each requirement in order to enable runtime monitoring and compensation capabilities,,,execution,state machine,,,,
135,A field study on 62 applications of the Software Product Management Maturity Matrix that enables product managers to benchmark their organization in order to suggest improvements of the matrix.,,,,,,,,management
136,"A discussion of Requirements Composition Tables (RCTs), which structure an application's functionality by core features and crosscutting concerns in order to explain this concept to practitioners and discuss its benefits",,,,,feature,,,
137,A solution for comparing requirement sentences with domain-related documents in order to identify ambiguities in natural language requirements specifications.,unambiguousness,,,natural language,,,,validation and verification
138,A solution for automatic detection of speculative language use in natural language requirements in order to identify and uncover uncertainty in requirements.,uncertainty,,automation,natural language,,,,
139,A method for modeling regulations with a particular requirement specification language in order to help getting a more precise understanding of who complies with what.,,,modeling,,quality ====>,other ====>,,
140,An experience report on categorizing requirements in large systems engineering projects in order to present practical issues with requirements categorization,,,,,,,,management
141,A method for detecting and classifying clarification events in online requirement discussions in order to highlight risks related to shared understanding.,,communication,,,,,,
142,A method for relating security-relevant assets to requirements and objectives of an attacker in order to analyze system security in different situations and to enable a set of countermeasures to mitigate security threats.,,,,,quality ====>,security,,
143,A study based on an online-survey on how product management practitioners understand the term product management in order to evolve product management frameworks and develop necessary skill sets for education of product managers.,,skills,,,,,,management
144,A case study on the selection of the most appropriate value-based requirements prioritization framework given the requirements of a particular company,,,prioritization,,,,,
145,A method for quantitatively analyzing contribution relationship measures in goal models in order to support informed decisions about different solutions to requirements problems.,,,decision-making,goal model,,,,
146,An experiments with students for understanding when and why humans make correct and incorrect decisions during tracing tasks with the support of a trace matrix that visualizes progress,traceability,skills,"visualization, decision-making",,,,,
147,A method for scenario-based specifications of component interactions in order to find inconsistencies between specifications of many variants in product lines,consistency,,,scenarios,,,,
148,An interview-based study with practitioners on how software architects deal with non-functional requirements in order to increase knowledge about the state of the practice.,,,,,quality ====>,generic,,
149,"A solution for mining ""requires"" or ""excludes"" constraints in the construction of feature models.",,,automation,feature model,,,,
150,A solution for automatically detecting outdated requirements based on changes in the code in order to keep requirements specifications up-to-date,other,,automation,,other,,,
151,A method for managing and reducing requirements uncertainty by partial requirements models so that uncertainty can be made explicit and incrementally removed,uncertainty,,modeling,,,,,
152,An experience report on applying a visual requirements modeling language that mitigates some of the weaknesses of UML in describing requirements.,,,"visualization, modeling",general,,,,
153,A method for predicting what areas of a proposed legal rule are most likely to evolve in order to allow engineers to begin building their software towards the more stable sections of the rule.,,,evolution,rules,quality ====>,other ====>,legal and regulations,
154,A solution for recommending trace links while creating or modifying traceable artifacts in order to avoid trace link creation towards the end of a project.,traceability,,,,,,,
155,A discussion on view-based requirements specifications including challenges and research questions in order to better understand the particular information needs of downstream development roles.,,,,,,,,documentation
156,A solution for extracting and ranking requirement candidates based on an analysis of web server logs in order to improve requirements elicitation and prioritization,,,prioritization,,,,,elicitation
157,A solution for identifying and resolving feature interactions at the level of requirements specifications in order to detect undesirable behavior earlier in the development life-cycle.,,,,,feature,,,validation and verification
158,A modelling language for modelling the behavioural requirements of a software product line in order to ease the task of adding new features to a set of existing requirements.,,,"evolution, modeling",,feature,,,
159,"A discussion on the state of the art in traceability, the grand challenge for traceability, and future directions for the field in order to increase the pervasiveness in industry.",traceability,,,,,,,
160,A method for annotating goals and assessing obstacles with probability measures in order to increase requirements completeness.,completeness,,,,goals,,,
161,A study based on review inspections and interviews with practitioners on the most critical and important quality criteria for natural language requirements specifications,general,,,natural language,,,,
162,An experiment for testing the hypothesis that adding a requirements analyst who is ignorant of the domain improves the effectiveness of the requirements elicitation team.,,,,,,,,elicitation
163,A solution for grouping generated trace link candidates in high-quality and low-quality clusters in order to improve the accuracy of automatic trace link recovery tools.,traceability,,automation,,,,,
164,"An experience report on how the use of RE methods in DNA nanotechnology contributes to make DNA nanotechnology more productive, predictable, and safe.",,,,,,,,
165,A multi-case study on how frequently do some classes of requirements appear in specifications for web-based enterprise systems,,,,general,,,,documentation
166,An interview-based study with practitioners for understanding the adjustment of requirement management practices after the adoption of open source software in order to facilitate open innovation,,,,,,,,management
167,"An experiment with students for assessing the effect of real-time machine translation on multilingual terms in order to leverage communication power in globally-distributed, multilingual project meetings",,communication,automation,,,,,
168,A set of two experiments with students and practitioners for investigating whether the granularity and cognitive support of prioritization techniques affect the judgement of product features as essential,,,prioritization,,feature,,,
169,A data-driven study on analysing the data collected via data mining from a commercial game over a three-year period in order to provide recommendations for future development.,,,,,,,,
170,A method for supporting adaptation to non-functional manifestations of uncertainty in order to optimize the system's ability to meet its non-functional requirements,uncertainty,,execution,,quality ====>,generic,,
171,A method for finding the root causes of the non-realizability of a scenario-based system specification in order to detect conflicts in the specification,feasibility,,,scenarios,,,,validation and verification
172,A case study on the impact of issue report misclassification (between feature and bug) in order to improve bug prediction,,,quality assurance,review report,,,,
173,A multi-case study on how information flows between different human roles in software projects with contrasting distributions of domain knowledge and different communication structures.,,"communication, skills",,,,,,
174,A method for synthesising response time requirements of component services in order to guarantee the global response time requirement of a service composition,,,automation,,quality ====>,performance efficiency,,
175,"A framework for supporting the selective disclosure of personal information according to context information (time, location, …) gathered at runtime in order to continuously satisfy privacy requirements",,,,,quality ====>,other ====>,privacy,
176,An experiment with students to understand how requirements analysts seek and gather information when linking requirements to other software artifacts,traceability,skills,,,,,,
177,A method for analysing large sets of user feedback in order to extract new/changed requirements for next versions,,,evolution,review report,,,,elicitation
178,A method for automatically deriving a machine specification satisfying a set of goals in a domain in order to reducing requirement modeling effort,,,"automation, modeling",,goals,,,
179,A method for automatically extracting a feature model from publicly available natural language product descriptions in order to speed up such feature model extraction process,,,automation,"natural language, feature model",,,,
180,A method for transforming an under-specified visual design mockup drawn by the designer to an accurate and flexible web page with virtually no manual effort,,,visualization,,,,,
181,A method for recovering traceability links between software artifacts that can be configured at runtime in order to optimize trace quality,traceability,,"configuration, execution",,,,,
182,A technique for both analyzing specifications of a product line to ensure that it is realizable and automatically synthesizing software components that show which sequences of actions the system can do to implement the specification,feasibility,,automation,,,,,validation and verification
183,A study based on practitioner interviews and project data to create a framework to assess requirement-ambiguity risk in order to understand the relationship between requirement ambiguity and project success,unambiguousness,,,,,,,
184,A case study for evaluating the suitability of a new software release planning (SRP) process in order to improve and customize SRP in practice.,,,,,,,,
185,A method for identifying relevant groups of stakeholders in order to to enable facilitated decision-making and handling of requirements,,,decision-making,,,,,
186,A case study on understanding software product management challenges in order to understand how the evolving management style has affected the way product requirements are managed,,,evolution,,,,,management
187,A case study for analysing the emergence of mutual and shared understanding in the written communication of a multidisciplinary team in order to support effective collaboration,,"collaboration, communication",,,,,,
188,An interview-based study with practitioners for understanding what traceability usage scenarios are most relevant for practitioners in order to provide a better traceability support.,traceability,,,,,,,
189,A method for grouping similar requirements in order to ease and allow a proper understanding of a requirements document.,understandability,,,,,,,documentation
190,A method for selecting a regulatory compliance solution that best suits the stakeholder preferences. ,,,,,quality ====>,other ====>,legal and regulations,
191,A literature study for understanding how the distance between RE and other development activities affect coordination and alignment to meet customer needs,,collaboration,,,,,,
192,A case study for understanding the challenges of use case and requirements analysis in a low-tech rural environment ,,,,use case,,,,
193,A method for automatically finding ambiguities in RE documents in order to avoid the need for manual checks,unambiguousness,,"quality assurance, automation",,,,,
194,A method for architecting systems that contain requirements with consequences over the software architecture in order to ensure the architecture meets the requirements,,,,,architecture,,,validation and verification
195,A document-driven study for analysing RE-related job advertisements in order to determine how practitioners perceive and staff requirements engineers. ,,skills,,,,,,
196,An experiment with students for comparing two requirements elicitation approaches when instantiating a Software Product Line (SPL) in order to understand which approach is more suitable for eliciting requirements when using SPLs.,,,,,,,,elicitation
197,A method for eliciting and modeling requirements for motion-based games for physiotherapy in order to guide the patients in performing the right movements for their rehabilitation,,,modeling,,,,,elicitation
198,A method for supporting decision making for self adaptive systems in order to deal with uncertainty at runtime,uncertainty,,"decision-making, execution",,,,,
199,A method for modelling i* elements in UML in order to enable the usage of existing UML tools for i*,,,,"goal model, uml diagram",,,,
200,A method for gathering feedback before a user has had experience with a software system in order to reduce the mismatch between actual and predicted user satisfaction,,,,review report,,,,
201,An interview-based study with practitioners for understanding how software architects cope with quality requirements in the context of large software system projects,,,,,quality ====>,generic,,
202,A method for expressing legal requirements in order to overcome significant challenges in managing the many laws that govern their systems in a multi-jurisdictional environment,,,,,quality ====>,other ====>,legal and regulations,documentation
203,An interview-based study with practitioners on requirements traceability across organizational boundaries in order to identify current needs and challenges.,traceability,,,,,,,
204,A case study for analyzing whether requirements with related information spread over many sections of many documents can be automatically classified ,,,automation,,,,,documentation
205,A case study for understanding the root causes of failed software projects in order to identify risk areas and provide practical guidance to practitioners,,,,,risk,,,
206,A case study on requirements brainstorming sessions considering knowledge of the domain as the factor to be measured in order to assess the effectiveness of idea generation,,skills,,,,,,
207,A method for identifying unstated assumptions in composite service-oriented applications in order to decrease the risk of unexpected behavior,,,,,,,,validation and verification
208,A literature survey on requirements elicitation techniques and a roadmap of research in order to improve the elicitation of tacit knowledge,,,,,,,,elicitation
209,A method for predicting integration bugs based on network measures calculated over requirements dependency networks,,,automation,,,,,
210,An interview-based study on requirements elicitation techniques used by cloud providers in order to clarify challenges related to requirements elicitation posed by the cloud paradigm,,,,,,,,elicitation
211,A method for refactoring new and inconsistent terminology in requirements in order to enhance the practicality of automated tracing tools.,"traceability, consistency",,automation,,,,,documentation
212,An experience report on the development of three generations of a product in order to assess the positive effects of well-written and well-reviewed requirements on the quality of the final product,general,,quality assurance,,,,,documentation
213,A method for designing RE visual notations based on large groups of novices instead of small groups of experts in order to increase novice's ability to interpret RE notations correctly.,understandability,skills,visualization,,,,,documentation
214,A solution for formally checking incomplete high-level specifications against formally specified requirements in order to integrate formal verification with agile approaches.,,,formalization,,,,,validation and verification
215,A method for automatic extraction of glossary terms from natural language requirements,,,automation,natural language,,,,documentation
216,"A case study on feature interactions in an automotive software system in order to assess the extent, awareness, and importance of interactions between features",,,,,feature,,,
217,A solution for leveraging a knowledge base of domain concepts and their relationships for fully automated creation of traceability links in order to increase precision and recall,traceability,,automation,,,,,
218,A method for systematically inspecting requirements specifications in order to increase their quality,,,quality assurance,,,,,
219,"A data-driven study on user feedback in app stores investigating how and when users provide feedback, the content of that feedback, and the impact of the feedback on the user community.",,,,review report,,,,
220,An experience report on the requirements engineering process for a national Police Force Crime Records Management System in order to present key challenges,,,,,process,,,
221,"A method for analyzing the structured relationships between requirements in order to validate requirements for completeness, correctness, and consistency.","consistency, completeness",,,,,,,validation and verification
222,A method for extracting a set of independent components from requirements descriptions in goal models in order to help analyzing the impact of requirements changes in the source code,,,,goal model,other,,,
223,A method for eliciting requirements for new telemedicine applications in a collaborative setting of time-constrained medical practitioners and requirements engineers in order to ensure compliance with medical protocols,,collaboration,,,,,,elicitation
224,A method for translating IT regulations into a legal requirements coverage model used to make coverage assertions about existing or planned IT systems in order to help developers identifying relevant legal requirements,,,,,quality ====>,other ====>,legal and regulations,elicitation
225,"A method for decomposing and structuring the behavioural requirements of a feature based on modes of operation (e.g., Active, Inactive, Failed) in order to provide a generic behavioural interface for features.",,,modeling,,"functional, feature",,,
226,A study based on an online-survey on the ability of software engineers to understand the impact of cross-references in legal regulation texts over their software systems.,,skills,,,quality ====>,other ====>,legal and regulations,
227,An experience report on the use of domain analysis to characterize current practice of applying requirement-based test generation at one industry partner in order to enhance the reuse of test artifacts across different products.,,,reuse,,tests,,,
228,A solution for generating trace links between textual requirements artifacts based on machine learning in order to improve automatic link recovery techniques.,traceability,,automation,natural language,,,,
