PaperId,Essential,Worthwhile,Unimportant,Unwise,ZeroRating,NotShown,PosRatings,NegRatings,TotalRatings,Venue,Year,TotalPages,IndTrack,AcadVsInd,Title,Authors,Summary
61,2,6,1,0,0,141,8,1,9,ESEM,2010,10,No,Academic,A Comprehensive Characterization of NLP Techniques for Identifying Equivalent Requirements,"Falessi, Davide and Cantone, Giovanni and Canfora, Gerardo",A case study for characterizing natural language processing techniques and compare their support in detecting equivalent requirements.
105,4,2,2,1,1,140,6,3,9,RE,2011,10,No,Academic,How interaction between roles shapes the communication structure in requirements-driven collaboration,"Marczak, S.; Damian, D.",A case study on roles and communication structures in a software team in order to investigate potential improvements of collaborations driven by requirements.
201,4,4,1,0,0,141,8,1,9,REFSQ,2013,16,No,Mixed,Software architects' experiences of quality requirements: what we know and what we do not know?,"Daneva, M.; Buglione, L.; Herrmann, A.",An interview-based study with practitioners for understanding how software architects cope with quality requirements in the context of large software system projects
236,3,4,2,0,0,141,7,2,9,RE,2013,10,No,Academic,Keeping requirements on track via visual analytics,"Nan Niu; Reddivari, S.; Zhangji Chen","A literature review on visual requirements analytics, a field that aims at increased interactivity of requirements visualization in order to lead to actionable decisions"
311,0,4,4,1,0,141,4,5,9,RE,2014,10,No,Academic,Towards a situation awareness design to improve visually impaired orientation in unfamiliar buildings: Requirements elicitation study,"Alkhanifer, A.; Ludi, S.",An experience report on eliciting user requirements with a non-standard user population: visually impaired users.
315,3,3,2,1,0,141,6,3,9,ESEM,2014,10,No,Mixed,Engineering of quality requirements as perceived by near-shore development centers' architects in eastern Europe: the hole in the whole,"Daneva, Maya and Marczak, Sabrina and Herrmann, Andrea","An interview-based study with practitioners for understanding how software architects working on large, distributed projects are involved in engineering quality requirements."
323,4,4,1,0,0,141,8,1,9,REFSQ,2015,15,No,Mixed,Metrics for the evaluation of feature models in an industrial context: a case study at Opel,"Oliinyk, O.; Petersen, K.; Schoelzke, M.; Becker, M.; Schneickert, S.",A case study for identifying metrics that evaluate feature models in order to quantify the success of feature models in practice.
413,2,3,4,0,0,141,5,4,9,RE,2016,10,No,Academic,Collaborative Traceability Management: Challenges and Opportunities,"Rebekka Wohlrab, Jan-Philipp Steghöfer, Eric Knauss, Salome Maro and Anthony Anjorin",A study based on case studies and interviews with practitioners for identifying challenges involved in collaborative traceability management and how traceability can be used to enable collaboration.
21,2,2,4,0,0,142,4,4,8,RE,2010,6,Yes,Academic,Requirements Determination is Unstoppable: An Experience Report,"Berry, D.M.; Czarnecki, K.; Antkiewicz, M.; AbdElRazik, M.",An interview-based study for explaining the causes of an unsatisfactory RE process in a company in order to identify improvement points
24,5,1,2,0,0,142,6,2,8,RE,2010,6,Yes,Academic,Model Based Requirements Analysis and Testing of Automotive Systems with Timed Usage Models,"Siegl, S.; Hielscher, K.-S.; German, R.",A method for formally representing requirements in order to facilitate their analysis and serve as basis for the testing process
32,2,5,0,1,0,142,7,1,8,RE,2010,6,Yes,Industry,"Big Ears (The Return of ""Easy Approach to Requirements Engineering"")","Mavin, A.; Wilkinson, P.","A document-driven study for refining, assessing and deriving lessons learned of a set of templates for requirements written in natural language"
63,5,1,2,0,0,142,6,2,8,ICSE,2011,10,No,Academic,Run-time efficient probabilistic model checking,"Antonio Filieri, Carlo Ghezzi, Giordano Tamburrelli",A method for generating a probabilistic model from a set of requirements in order to verify system requirements at runtime
80,4,3,1,0,1,141,7,1,8,RE,2011,6,Yes,Industry,A means of establishing traceability based on a UML model in business application development,"Ohashi, K.; Kurihara, H.; Tananaka, Y.; Yamamoto, R.",A method for defining efficiently trace links among business application artifacts in order to decrease the developer's workload for setting trace links
82,2,5,1,0,0,142,7,1,8,RE,2011,10,No,Industry,Evolving specifications formally,"Sampath, P.; Arora, S.; Ramesh, S.",A method for developing specifications in quick iterations of analyzing and refining a formal specification in order to facilitate rapid evolution of specifications of system features.
87,2,4,1,1,0,142,6,2,8,RE,2011,6,Yes,Industry,Semi-automatic identification of features in requirement specifications,"Boutkova, E.; Houdek, F.",A method for semi-automatic extraction of feature models from natural language specifications in order to support requirements reuse.
89,4,2,1,1,0,142,6,2,8,RE,2011,6,Yes,Academic,What are the day-to-day factors that are preventing business analysts from effective business analysis?,"Wever, A.; Maiden, N.",An online-survey on factors that prevent business analysts from applying their requirements analysis knowledge in practice.
91,2,4,2,0,0,142,6,2,8,RE,2011,10,No,Academic,Focusing spontaneous feedback to support system evolution,"Schneider, K.",A solution for enabling citizens to report problems with or making suggestions for a software system by smartphone in order to identify new requirements.
125,3,4,1,0,0,142,7,1,8,REFSQ,2012,16,No,Academic,Towards a Requirements Modeling Language for Self-Adaptive Systems,"Qureshi, N.A.; Jureta, I.J.; Perini, A.",A modeling language for representing and analysing requirements for Self-Adaptive Systems in order to make them readable by non-engineering stakeholders
142,4,3,1,0,0,142,7,1,8,RE,2012,10,No,Academic,Requirements-driven adaptive security: Protecting variable assets at runtime,"Salehie, M.; Pasquale, L.; Omoronyia, I.; Ali, R.; Nuseibeh, B.",A method for relating security-relevant assets to requirements and objectives of an attacker in order to analyze system security in different situations and to enable a set of countermeasures to mitigate security threats.
161,6,1,1,0,0,142,7,1,8,RE,2012,6,Yes,Industry,Defects in natural language requirement specifications at Mercedes-Benz: An investigation using a combination of legacy data and expert opinion,"Ott, D.",A study based on review inspections and interviews with practitioners on the most critical and important quality criteria for natural language requirements specifications
172,1,4,3,0,1,141,5,3,8,ICSE,2013,10,No,Academic,"It's not a bug, it's a feature: how misclassification impacts bug prediction","Kim Herzig, Sascha Just, Andreas Zeller",A case study on the impact of issue report misclassification (between feature and bug) in order to improve bug prediction
191,1,6,1,0,0,142,7,1,8,REFSQ,2013,15,No,Academic,Distances between requirements engineering and later software development activities: a systematic map,"Bjarnason, E.",A literature study for understanding how the distance between RE and other development activities affect coordination and alignment to meet customer needs
196,0,4,4,0,0,142,4,4,8,REFSQ,2013,16,No,Academic,Effective requirements elicitation in product line application engineering - an experiment,"Adam, S.; Schmid, K.",An experiment with students for comparing two requirements elicitation approaches when instantiating a Software Product Line (SPL) in order to understand which approach is more suitable for eliciting requirements when using SPLs.
235,2,4,2,0,1,141,6,2,8,RE,2013,6,Yes,Industry,Requirements reviews revisited: Residual challenges and open research questions,"Salger, F.",A discussion on the major challenges of reviewing requirements specifications in industry in order to align research activities to add more value for the software industry.
240,2,2,2,2,0,142,4,4,8,ESEM,2013,7,No,Academic,Tracing Requirements and Source Code during Software Development: An Empirical Study,"Delater, Alexander and Paech, Barbara",A project-based study with students on a semi-automatic tool to capture implicit traceability links from requirements to code in order to evaluate the feasibility and practicability.
307,0,1,7,0,0,142,1,7,8,RE,2014,10,No,Academic,TiQi: Towards natural language trace queries,"Pruski, P.; Lohar, S.; Aquanette, R.; Ott, G.; Amornborvornwong, S.; Rasin, A.; Cleland-Huang, J.",A solution for writing or speaking trace queries in natural language in order to lower the barrier for utilizing trace data.
319,1,6,0,1,0,142,7,1,8,ESEM,2014,8,Yes,Mixed,Security triage: an industrial case study on the effectiveness of a lean methodology to identify security requirements,"Giacalone, Matteo and Paci, Federica and Mammoliti, Rocco and Perugino, Rodolfo and Massacci, Fabio and Selli, Claudio",An experience report on the use of a lean methodology to identify security requirements in order to integrate them in the software production cycle
334,0,3,5,0,0,142,3,5,8,REFSQ,2015,15,No,Mixed,Experimental Validation of a Risk Assessment Method,"Vriezekolk, E.; Etalle, S.; Wieringa, R.",An experiment with students for assessing an existing availability risk assessment method in order to improve its reliability.
340,2,5,1,0,0,142,7,1,8,REFSQ,2015,15,No,Academic,User-Constrained Clustering in Online Requirements Forums,"Chuan Duan; Dumitru, H.; Cleland-Huang, J.; Mobasher, B.",A method for integrating user feedback involving geographically dispersed stakeholders in order to facilitate forum-based requirements elicitation.
344,5,1,2,0,0,142,6,2,8,RE,2015,9,Yes,Industry,Reuse of architecturally derived Standards Requirements,"Panis, M.C.","An experience report on practical realities an organization faces in attempting to reuse requirements, including a requirements reuse process, encountered problems, obtained results, and plans for future improvement of the process."
347,1,3,3,1,0,142,4,4,8,RE,2015,10,No,Academic,Exposing the susceptibility of off-nominal behaviors in reactive system requirements,"Aceituna, D.; Hyunsook Do",A method for semi-automatically exposing whether the unanticipated behavior of the operational context can result in undesired system states.
370,4,3,1,0,0,142,7,1,8,ICSE,2016,10,Yes,Mixed,Visualizing the Effects of Requirements Evolution,"Shinobu Saito, Yukako Iimura, Hirokazu Tashiro, Aaron Massey, Annie Antón",A case study on the effectiveness of a particular method to visually represent requirements evolution histories.
389,1,3,4,0,0,142,4,4,8,REFSQ,2016,15,No,Academic,Indicators for Open Issues in Business Process Models,"Ralf Laue, Wilhelm Koop, Volker Gruhn",A method for searching certain classes of potential problems in business process models related to their incompleteness of the ambiguity of their labels.
394,1,3,4,0,0,142,4,4,8,REFSQ,2016,18,No,Academic,The Use and Effectiveness of User Stories in Practice,"Garm Lucassen, Fabiano Dalpiaz, Jan Martijn E. M. van der Werf, Sjaak Brinkkemper",A multi-instrument study (survey followed by interviews) with industry on their productivity and the quality of their working documents when using user stories.
418,2,1,4,1,0,142,3,5,8,RE,2016,10,No,Academic,Goal-Oriented Requirements Engineering: A Systematic Literature Map,"Jennifer Horkoff, Fatma Başak Aydemir, Evellin Cardoso, Tong Li, Alejandro Mate, Elda Paja, Mattia Salnitri, John Mylopoulos, Paolo Giorgini",A literature review on the existing approaches in goal-oriented RE in order to provide research directions in this area.
424,3,4,1,0,0,142,7,1,8,RE,2016,10,No,Academic,Requirements and Test Documentation Management: State of Practice in Fifteen Companies,"Sofija Hotomski, Eya Ben Charrada and Martin Glinz","An interview-based study with practitioners on the current practices for writing, maintaining and linking requirements and acceptance test documentation in agile projects."
11,3,4,0,0,1,142,7,0,7,REFSQ,2010,14,No,Academic,Supporting the Consistent Specification of Scenarios across Multiple Abstraction Levels,"Sikora, E.; Daun, M.; Pohl, K.",A method for developing scenarios at multiple abstractions levels and check their consistency in order to specify complex software-intensive systems
13,2,4,1,0,0,143,6,1,7,REFSQ,2010,14,No,Academic,Understanding the Scope of Uncertainty in Dynamically Adaptive Systems,"Welsh, K.; Sawyer, P.",A method for reasoning about likely sources of uncertainty in dynamically adaptive systems in order to apply the right adaptation strategies
23,4,2,0,1,1,142,6,1,7,RE,2010,6,Yes,Mixed,Manufacturer-Supplier Requirements Synchronization Using Exchange Containers and Multi-Level Systems,"Bittner, M.; Reiser, M.-O.; Glathe, H.; Weber, M.",A method for systematically and repeatedly exchanging requirements between manufacturers and suppliers.
28,1,4,2,0,0,143,5,2,7,RE,2010,5,Yes,Industry,Successful Deployment of Requirements Traceability in a Commercial Engineering Organization...Really,"Panis, M.C.",An experience report on the value provided by requirements traceability in a commercial engineering company and a discussion of success factors
30,1,4,2,0,0,143,5,2,7,RE,2010,10,No,Academic,Domain Engineering with Event-B: Some Lessons We Learned,"Mashkoor, A.; Jacquot, J.-P.",An experience report on modeling a safety critical domain using a formal method in order to better understand its adequacy for domain engineering
41,2,4,0,1,0,143,6,1,7,RE,2010,6,Yes,Industry,User Experience Grading Via Kano Categories,"Primrose, M.C.","A method for grading the implementation of use cases, features and requirements from a usability perspective in order to determine if a product meets its usability requirements"
64,1,4,2,0,0,143,5,2,7,ICSE,2011,10,No,Academic,Reverse engineering feature models,"Steven She, Rafael Lotufo, Thorsten Berger, Andrzej Wasowski, Krzysztof Czarnecki",A method for recovering a feature model from the existing software product line in order to reduce modeling effort
78,1,4,2,0,0,143,5,2,7,REFSQ,2011,14,No,Academic,Discovering Sustainability Requirements: An Experience Report,"Mahaux, M.; Heymans, P.; Saval, G.","An experience report on the use of tools and techniques for systematic elicitation, analysis and documentation of sustainability requirements in order to minimize negative environmental impact of the software under construction"
116,1,6,0,0,0,143,7,0,7,FSE,2012,10,No,Mixed,Automated extraction of security policies from natural-language software documents,"Xusheng Xiao, Amit M. Paradkar, Suresh Thummalapenta, Tao Xie","A method for transforming security policies expressed in natural language to a formal, processable form in order to detect inconsistencies in access control policies"
117,2,4,1,0,1,142,6,1,7,REFSQ,2012,14,No,Academic,Supporting Failure Mode and Effect Analysis: A Case Study with Failure Sequence Diagrams,"Raspotnig, C.; Opdahl, A.",A method for conducting failure analysis of systems that consist of several interacting component in order to integrate FMEA and system modelling.
121,3,4,0,0,1,142,7,0,7,REFSQ,2012,17,No,Academic,Release Planning with Feature Trees: Industrial Case,"Flicker, S.; Schumacher, S.",A case study on planning the releases of an evolving software solution in the presence of low-quality input requirement in order to reduce release planning effort and increase decision-making flexibility
130,1,6,0,0,0,143,7,0,7,REFSQ,2012,14,No,Academic,Why the Electronic Land Registry Failed,"Lauesen, S.",A case study on a failed governamental IT project in order to understand the causes of failure from a requirements perspective
135,1,3,2,1,0,143,4,3,7,RE,2012,10,No,Academic,Evaluating the Software Product Management Maturity Matrix,"Bekkers, W.; Brinkkemper, S.; van den Bemd, L.; Mijnhardt, F.; Wagner, C.; van de Weerd, I.",A field study on 62 applications of the Software Product Management Maturity Matrix that enables product managers to benchmark their organization in order to suggest improvements of the matrix.
138,0,1,6,0,0,143,1,6,7,RE,2012,10,No,Academic,Speculative requirements: Automatic detection of uncertainty in natural language requirements,"Hui Yang; De Roeck, A.; Gervasi, V.; Willis, A.; Nuseibeh, B.",A solution for automatic detection of speculative language use in natural language requirements in order to identify and uncover uncertainty in requirements.
141,1,4,2,0,1,142,5,2,7,RE,2012,10,No,Academic,Detecting and classifying patterns of requirements clarifications,"Knauss, E.; Damian, D.; Poo-Caamano, G.; Cleland-Huang, J.",A method for detecting and classifying clarification events in online requirement discussions in order to highlight risks related to shared understanding.
147,3,4,0,0,0,143,7,0,7,RE,2012,10,No,Academic,Efficient consistency checking of scenario-based product-line specifications,"Greenyer, J.; Sharifloo, A.M.; Cordy, M.; Heymans, P.",A method for scenario-based specifications of component interactions in order to find inconsistencies between specifications of many variants in product lines
163,1,2,3,1,0,143,3,4,7,RE,2012,10,No,Academic,Enhancing candidate link generation for requirements tracing: The cluster hypothesis revisited,"Nan Niu; Mahmoud, A.",A solution for grouping generated trace link candidates in high-quality and low-quality clusters in order to improve the accuracy of automatic trace link recovery tools.
169,2,1,4,0,0,143,3,4,7,ESEM,2012,10,Yes,Mixed,Empirical analysis of user data in game software development,"Hullett, Kenneth and Nagappan, Nachiappan and Schuh, Eric and Hopson, John",A data-driven study on analysing the data collected via data mining from a commercial game over a three-year period in order to provide recommendations for future development.
184,3,3,1,0,0,143,6,1,7,REFSQ,2013,15,No,Mixed,Analyzing an Industrial Strategic Release Planning Process - a Case Study at Roche Diagnostics,"Zorn-Pauli, G.; Paech, B.; Beck, T.; Karey, H.; Ruhe, G.",A case study for evaluating the suitability of a new software release planning (SRP) process in order to improve and customize SRP in practice.
194,3,4,0,0,0,143,7,0,7,REFSQ,2013,15,No,Academic,A persona-based approach for exploring architecturally significant requirements in agile projects,"Cleland-Huang, J.; Czauderna, A.; Keenan, E.",A method for architecting systems that contain requirements with consequences over the software architecture in order to ensure the architecture meets the requirements
198,4,1,2,0,0,143,5,2,7,REFSQ,2013,15,No,Academic,Supporting decision-making for self-adaptive systems: from goal models to dynamic decision networks,"Bencomo, N.; Belaggoun, A.",A method for supporting decision making for self adaptive systems in order to deal with uncertainty at runtime
208,0,4,3,0,0,143,4,3,7,RE,2013,13,No,Academic,Requirements elicitation: Towards the unknown unknowns,"Sutcliffe, A.; Sawyer, P.",A literature survey on requirements elicitation techniques and a roadmap of research in order to improve the elicitation of tacit knowledge
211,3,2,2,0,1,142,5,2,7,RE,2013,10,No,Academic,Supporting requirements traceability through refactoring,"Mahmoud, A.; Nan Niu",A method for refactoring new and inconsistent terminology in requirements in order to enhance the practicality of automated tracing tools.
224,2,3,1,1,0,143,5,2,7,RE,2013,10,No,Academic,Assessing regulatory change through legal requirements coverage modeling,"Gordon, D.G.; Breaux, T.D.",A method for translating IT regulations into a legal requirements coverage model used to make coverage assertions about existing or planned IT systems in order to help developers identifying relevant legal requirements
228,0,6,1,0,0,143,6,1,7,RE,2013,10,No,Academic,Application of reinforcement learning to requirements engineering: requirements tracing,"Sultanov, H.; Hayes, J.H.",A solution for generating trace links between textual requirements artifacts based on machine learning in order to improve automatic link recovery techniques.
230,0,6,1,0,0,143,6,1,7,RE,2013,6,Yes,Mixed,The integration of an RE method and AHP: A pilot study in a large Swiss bank,"Golnam, A.; Regev, G.; Wegmann, A.; Kyriakopoulou, S.",An experience report on the integration of software architecting and decision-making methods in order to select a common service oriented architecture tool that could satisfy the needs of different business units.
238,4,3,0,0,0,143,7,0,7,RE,2013,10,No,Academic,An empirical study on project-specific traceability strategies,"Rempel, P.; Mader, P.; Kuschke, T.",An interview-based study with practitioners on the quality and suitability of a project's traceability strategy in order to identify common problems across traceability strategies and their possible causes.
241,1,3,3,0,0,143,4,3,7,ESEM,2013,10,No,Mixed,Automatic Checking of Conformance to Requirement Boilerplates via Text Chunking: An Industrial Case Study,"Arora, Chetan and Sabetzadeh, Mehrdad and Briand, Lionel and Zimmer, Frank and Gnaga, Raul",A case study for validating a tool that automatically checks the conformance of requirements to a given template in order to reduce ambiguity in natural language requirements
242,1,2,1,3,0,143,3,4,7,ICSE,2014,10,No,Academic,Time pressure: a controlled experiment of test case development and requirements review,"Mika Mäntylä, Kai Petersen, Timo O. A. Lehtinen, Casper Lassenius",An experiment with students for investigating the relationship between time pressure and efficiency in test case development and requirement review
271,2,3,2,0,1,142,5,2,7,RE,2014,10,Yes,Academic,Building a National E-Service using Sentire experience report on the use of Sentire: A volere-based requirements framework driven by calibrated personas and simulated user feedback,"Porter, C.; Letier, E.; Sasse, M.A.",An experience report on the adoption of a persona-centric requirements framework in order to show its ability to quantify user experience.
278,1,3,3,0,0,143,4,3,7,RE,2014,7,Yes,Mixed,Reassessing the pattern-based approach for formalizing requirements in the automotive domain,"Filipovikj, P.; Nyberg, M.; Rodriguez-Navas, G.",A case study on the transformation of a set of natural language functional requirements to a semi-formal pattern notation in order to investigate the applicability of this process in the automotive domain.
285,0,5,2,0,0,143,5,2,7,RE,2014,8,Yes,Mixed,The effect of variability modeling on requirements satisfaction for the configuration and implementation of off-the-shelf software packages,"Rubython, A.; Maiden, N.",An experience report on the use of a method for discovering customer requirements to configure an off-the-shelf software package.
289,5,1,1,0,0,143,6,1,7,RE,2014,10,Yes,Mixed,Capturing and sharing domain knowledge with business rules lessons learned from a global software vendor,"Maalej, W.; Ghaisas, S.","An interview-based study on how practitioners understand, capture, and use business rules in order to describe constraints in a domain."
309,3,3,0,1,0,143,6,1,7,RE,2014,10,No,Academic,Automated extraction and visualization of quality concerns from requirements specifications,"Rahimi, M.; Mirakhorli, M.; Cleland-Huang, J.","A solution for automatic extraction and modeling of quality concerns from textual documents such as requirements, feature requests, and online forums in order to elicit quality requirements"
320,1,5,1,0,3,140,6,1,7,ESEM,2014,10,No,Academic,Using templates to elicit implied security requirements from functional requirements - a controlled experiment,"Riaz, Maria and Slankas, John and King, Jason and Williams, Laurie",An experiment with students for assessing a technique that automatically suggests appropriate security requirements templates implied by existing functional requirements
341,1,4,2,0,0,143,5,2,7,RE,2015,10,No,Academic,Selecting creativity techniques for creative requirements: An evaluation of four techniques using creativity workshops,"Svensson, R.B.; Taghavianfar, M.",An experiment with practitioners and students on generating creative ideas and requirements in creativity workshops in order to evaluate the effectiveness of different creativity techniques.
351,1,2,3,1,1,142,3,4,7,RE,2015,10,No,Academic,"Bug report, feature request, or simply praise? On automatically classifying app reviews","Maalej, W.; Nabil, H.",A data-driven study for comparing several probabilistic techniques to classify app reviews from app stores in order to assess their accuracy.
375,2,2,2,1,0,143,4,3,7,ICSE,2016,10,No,Academic,Sustainability Design in Requirements Engineering: State of Practice,"Ruzanna Chitchyan, Christoph Becker, Stefanie Betz, Leticia Duboc, Birgit Penzenstadler, Norbert Seyff, Colin C. Venters",An interview-based study to explore requirements engineering practitioners' perceptions and attitudes towards sustainability.
383,2,4,1,0,0,143,6,1,7,FSE,2016,11,No,Academic,Mining Performance Specifications,Marc Brünink and David Rosenblum,A method for mining performance specifications from running systems that allow performance regression testing and performance monitoring.
387,1,5,1,0,0,143,6,1,7,REFSQ,2016,19,No,Academic,How Firms Adapt and Interact in Open Source Ecosystems: Analyzing Stakeholder Influence and Collaboration Patterns,"Johan Linåker, Patrick Rempel, Björn Regnell, Patrick Mäder",A case study on understanding how stakeholder influence and collaboration patterns evolve over time and how innovation and time-to-market evolve over the same period of time.
415,1,4,2,0,0,143,5,2,7,RE,2016,10,No,Academic,Nane: Identifying Misuse Cases Using Temporal Norm Enactments,"Ozgur Kafali, Munindar Singh and Laurie Williams",A framework for helping analysts in identifying system misuse cases using formal reasoning about social norms in order to avoid data breaches originating from such misuses.
421,0,3,2,2,2,141,3,4,7,RE,2016,10,No,Academic,What Is the Impact of Bad Layout in the Understandability of Social Goal Models for Requirements Engineering?,"Mafalda Santos, Catarina Gralha, Miguel Goulão, João Araújo, Ana Moreira, João Cambeiro",An experiment with academics for exploring the impact of violating goal model layout guidelines onto the understandability of the requirements represented in such model.
422,0,4,2,1,1,142,4,3,7,RE,2016,10,No,Academic,A Needle in a Haystack: What Do Twitter Users Say about Software?,"Emitza Guzman, Rana Alkadhi and Norbert Seyff",A data-driven study for understanding the communication about software applications on Twitter and its relevance for RE and software evolution.
428,2,4,0,1,0,143,6,1,7,RE,2016,10,No,Academic,Acquiring Creative Requirements from the Crowd: Understanding the Influences of Individual Personality and Creative Potential in Crowd-RE,"Pradeep Kumar Murukannaiah, Nirav Ajmeri and Munindar Singh",A case study on generating and rating ideas from the crowd in order to understand how human personality and creative potential influence requirement acquisition from the crowd.
431,3,3,1,0,0,143,6,1,7,RE,2016,10,No,Academic,Managing Requirements Change the Informal Way: When Saying 'No' Is Not an Option,"Waqar Hussain, Didar Zowghi, Tony Clear, Stephen MacDonell and Kelly Blincoe",A case study on the need for requirement change control policies and formal processes to coexist with informal requirement change management in globally distributed settings.
433,0,4,3,0,0,143,4,3,7,ESEM,2016,10,No,Academic,Diagram Size vs. Layout Flaws: Understanding Quality Factors of UML Diagrams,Harald Störrle,A data-driven study for understanding the effect of size and layout flaws in the comprehension of several types of UML specification models.
9,2,3,1,0,0,144,5,1,6,REFSQ,2010,14,No,Mixed,Ambiguity Detection: Towards a Tool Explaining Ambiguity Sources,"Gleich, B.; Creighton, O.; Kof, L.",A tool for automating ambiguity detection and explaining the sources of the detected ambiguities in order to improve natural language specifications and educate software analysts
12,1,5,0,0,0,144,6,0,6,REFSQ,2010,11,No,Academic,Binary Priority List for Prioritizing Software Requirements,"Bebensee, T.; van de Weerd, I.; Brinkkemper, S.",An industrial evaluation based on benchmarks for comparing and assessing the suitability of two requirements prioritization techniques
17,1,2,3,0,0,144,3,3,6,REFSQ,2010,14,No,Industry,Tackling Semi-automatic Trace Recovery for Large Specifications,"Leuser, J.; Ott, D.",A method for semi-automatically recovering traces in natural language specifications in order to be compliant with industrial standards
18,2,4,0,0,1,143,6,0,6,REFSQ,2010,14,No,Academic,A Case Study on Tool-Supported Multi-level Requirements Management in Complex Product Families,"Bittner, M.; Reiser, M.-O.; Weber, M.",A case study for validating a multi-level approach for planning and managing variability and reuse across independent product ranges in a product family
