ID,Ifdn,Text,general,all industry,contextual,organizational,personal,not existing,scarce,difficult,unsatisfactory,adequate,plausible,on organization,on individual,Experience,not valid,not positive
89,46,The survey would help to identify the types of constraints within a business culture or industry domain that prevent Business Analysts from applying their skills or being respected as peers,,,,,,,,,,,,1,,,,
90,96,"A lot of regulations are contradictory, it is good to have an overview for decision making",1,,,,,,,,,,,,1,,,
91,146,Users are the source of the most significant requirements and easing feedback improves coupling from desire to result.,1,,,,,,,,,1,,,,,,
98,86,relevant in daily project-life,,1,,,,,,,,,,,,,,
98,126,"It's important to discuss and setup requirements to create the task from them. Once start working, any change becomes two tasks: undo and do.",1,,,,,,,,1,,,,,,,
100,16,Today Risk Assessment is essential for the success of many projects,,1,,,,,,,,,,,,,,
100,57,"Probably because in my working environment we are aware that we should do more about security but have little experience with it. If a method could help teams with little knowledge and experience in dealing with security, it would be extremely valuable.",,,,1,,1,,,,,,,,,,
100,98,"If such a method does not exist yet, it seems to be important to have it.",,1,,,,1,,,,,,,,,,
103,84,I think it's key to determine and share insight on what are the actual business risks (what is crucial and what is not),1,,,,,,,,,,,,,,,
104,44,Requirements are extremely important especially if it can be considered adaptive or automatic,1,,,,,,,,,,,,,,,
105,105,Communication in and between teams are dificult. Think RE have a potentential to help.,1,,,,,,,,,,1,,,,,
105,124,I think that communication in general is a success factor of a project; good communication drives to the right goals.,1,,,,,,,,,1,,,,,,
107,51,I think the result of the study might be worth while looking into and a way to validate (or not validate) common used methods.,,,,,,,,,,,,,1,,,
124,114,Traceability in safety critical systems is THE important,1,,,,,,,,,,,,,,,
126,56,dependecy between requirements is always crucial,1,,,,,,,,,,,,,,,
126,107,Green field happens from time to time; incremental improvements are very common. Change requests occur frequently,,1,,,,,,,,,,,,,,
128,74,Non-functional requirements do not always get the attention they deserve. Correlating understanding of non-functional requirements to project success would be of interest.,1,,,,,,,,,,1,,,,,
130,129,To many goverment project get out of budget and time and in many cases the supplier just want to earn money and not focus on customer needs.,1,,,,,,,,,,,,,,,
143,140,"Product managers in general and the product owner role in the agile context is misintrerpreted, poorly performed. many times by software managers with no expertice in the specific application domain.",,,1,,,,,,,,,,,,,
144,89,because it's essential priorize requirements and verify its impact in the system and how much time will be spend in this new requirement,1,,,,,,,,,,,,,,,
150,127,"We have a lot of old requirements that we do not know if they are outdated or not. These makes the number of requirements very large, so if we could find out which to update or remove by some automated method, we would gain much.",,,,1,,1,,,,,,,,,,
150,133,codes need keep in same steps with requirement.,1,,,,,,,,,,,,,,,
161,34,"Even though models are used extensively, most requirements are specified using natural language. The better we become at writing in natural language for specifications, the better outcomes we will achieve.",,1,,,,,,,,,,,,,,
177,85,very relevant to ensure that eg massive amounts of online feedback is actually processed (and not just ignored or skimmed over),,1,,,,,,,,,,,,,,
183,42,Project success is a high-level goal. The assessment of requirements ambiguity to achieve this goal is critical.,,,,,,,,,,1,,,,,,
184,78,Case studies are critical. Knowledge must be exposed based on Task or Jobs and outcomes and case study is a suitable tool for that purpuose,,,,,,,,,,1,,,,,,
187,88,Need standardized formats for written communication that both software vendors/developers and business managers can understand,,,,,,,,,,1,,1,,,,
194,4,"This research addresses a very relevant issue for the industry, it may lead to important practical applications.",,1,,,,,,,,,1,,,,,
198,5,"Systems (including vehicles) are becoming more autonomous and adaptive, and there is a lot to be done here.",,,1,,,,1,,,,,,,,,
200,91,To avoid last minute surprise at end.,,,,,,,,,1,,,,,,,
201,118,This is an area and a topic I recognize from my work and the environment I am working in.,,,,,1,,,,,,,,,1,,
215,35,"Terminology is essential for the interpretation of requirements, so a method for extraction of terms would be a great benefit.",,,,,,1,,,,1,,,,,,
216,153,because it could improve the software design in terms of interoperability,,,,,,,,,1,,1,,,,,
218,72,Improving quality of requirements is fundamental since it will drive the final solution's quality,1,,,,,,,,1,,,,,,,
219,33,it is a great way of tracking customer satisfaction and its impacts,,,,,,,,,,1,,,,,,
221,43,Helps also to Identify dependent requirements and remove their side effects early in the process,1,,,,,,,,,,,,,,,
224,26,To translate legal requirements into IT requirements needs a lot of translating effort between specialists; a formalized method would improve RE efficiency,,,,,,,,,1,,,,,,,
235,59,"In my opinion, despite the efforts for aligning research interest with industrial needs, there is still a significant gap, in many areas, between them, so initiatives of this kind are quite appreciated.",,,,,,,1,,,,,,1,,,
238,48,Without a traceability stratergy an organisation will not be in a position to implement any project that delivers on their planned stratergy or visions.,,1,,,,,,,,1,,,,,,
242,79,This dilemma occurs constantly in practice: time vs. quality.,,1,,,,,,,,,,,,,,
242,100,Coincide with my experience where time boundaries badly established due to random priorities is a unnecessary pressure,1,,,,,,,,,,,,,1,,
244,65,Demand in growing systems to guarantee traceability,1,,,,,,,,,,,,,,,
244,101,we can analyse it.,,,,,,,,,,,1,,,,,
249,23,um einen sichereen ÕÔÕberblick ÕÔ_ber die beschriebenen AblaÕÔ_fe zu erhalten,,,,,,,,,,1,,,,,,
258,40,In our classical projects (following the V-model) inconsitence is one of the biggest challanges. Any automatic approch that helps to identify inconsistencys or that completle avoid them is of big interest.,,,,1,,1,,,,,1,,,,,
258,134,runtime system feedback could help anysis system requirement.IT is important to keep them consistent.,1,,,,,,,,,,1,,,,,
262,50,User developer communication is usually very complcated because they come from different domains and focus on different goals and details.,,,,,,,,1,,,,,,,,
265,122,"Many of the times, conflicted requirements and different interests among stakeholders can lead projects to fail. It would be very important if we could map these questions before.",1,,,,,,,,,,,,,,,
271,52,"We work with a group of users that differ a lot from each other, so it is important we define requirements based on persona`s and their differences. User experience is becoming more and more one of the highest priorities for our systems.",,,,1,,,,,,1,,,,,,
272,108,Communication (and so culture) is a key concern in requirements engineering and such a study could help understand interesting aspects in this field,1,,,,,,,,,,,,1,,,
272,128,In my opinion we need to share and exchange more information related to the practices that we have been using in order to increase our performance and maturity level.,,,,,,,,,,,,,1,,,
278,73,I strongly believe that requirements elicitation should be automated as much as possible to get the process standardized and avoid major mistakes.,,,,,,,,,,1,,,,,,
281,9,Any missed requirement can cause big harm in this kind of systems. This mens any method that could improve something is important.,1,,,,,1,,,,,,,,,,
284,104,"In recent years, users of systems have diversified. We think that it is necessary to consider various factors such as age, sex, living environment, and other factors that have a great influence on society.",1,,,,,,,,,,1,,,,,
289,125,It's important to understand how they do that currently,,,,,,,,,,,,,1,,,
289,139,To understand more from the interview also to make sure the interviewee is the right person,,,,,,,,,,,,,1,,,
291,151,Because it's still an issue to define good-enough quality - especially in agile environments. It might be helpful to have a systematic approach for it.,1,,,,,,,,,,1,,,,,
292,95,It helps to build bridges between business and IT (shared views).,,,,,,,,,,,,1,,,,
302,15,This is what is all about: increasing quality and satisfy the needs and goals of stakeholder by using professional RE. Excellent specifications are a crucial foundation of nearly every development.,1,,,,,,,,,1,,,,,,
304,90,"It's quite dificult to specify unambiguous, de-idealized, and measurable NFRs. We usualy spend too much time.",,,,,,,,1,1,,,,,1,,
306,113,The resources are always limited and it is essential to know which area that needs refactoring.,1,,,,,,,,,,,,,,,
309,76,companies and businesses still use a high amount of textual documents which can be used for RE purposes,,1,,,,,,,,,,,,,,
310,6,Seems interesting,,,,,1,,,,,,,,,,,
315,21,"More and more software is cinnected with others, big projects reuslt and are not easy to define and manage",1,,,,,,,1,,,,,,,,
315,41,Role of software architect is on one hand very important but often neglected. Improving its visibility and impact is very important,1,,,,,,,,,1,,,,,,
323,80,Will enable upfront proof and a way to measure in practice. Confidence to the team and the client.,,1,,,,,,,,,,1,,,,
324,11,"Misunderstandings and interpretations often lead to requirements defects. This effect could possibly be reduced by such a method. Furthermore, the effort for transformation can be significantly reduced.",1,,,,,,,,1,,1,,,,,
327,120,It can antecipate risks in the decision making and eventually avoid to elect unadequate requirements to be implemented,1,,,,,,,,,1,,,,,,
330,37,prioritizing requirements is one of the most challenging tasks for REs,1,,,,,,,,,,,,,,,
335,53,"The conflict point is IT security - one party wants simple access, the other party wants to close the door with seven locks.",,,,,,,,,,,,,,,,1
339,62,Collaborative Requirements Engineering becomes very important as system complexity and multi-disciplinary engineering increases. Communication is essential in this paradigm shift away from isolated Requirements Specification by a few Req Engineers,1,,,,,,,,,1,,,,,,
340,8,This is the future way of development. And there is no process etc. on the market which could solve this topic,1,,,,,1,,,,,,,,,,
342,68,"I feel that risk management is not always systematically performed, and it's results flown into requirements. A more integrated RM/RE approach would be useful to force structured activity performing and automate results conversion to requirements/actions.",1,,,,,,,,,1,,,,,,
344,45,"Writing specs and requirements needs a big amount of time in projects. If you have a good spec at the end why not using the whole spec or parts again in case there is a good approach. Often a good, existing spec is taken, but not according a real concept.",,,,,,,,,1,,1,,,,,
347,47,Unanticipated behaviour can occur very late after the system design it could be useful to identify them well in advance,1,,,,,,,,,,,,,,,
347,145,"one of the most insidious defects in software is a system being in an illegal state. hard to find in testing, it tends to appear randomly.",1,,,,,,,,,,,,,,,
350,13,"SoSs are typically highly complex and without a model-driven process it will be difficult, if not impossible, to provide comprehensive validation",,,1,,,,,,,1,,,,,,
354,82,I think the significant functional requirements are needed for identifying categories of probing questions.,,,,,,,,,,,1,,,,,
362,54,Could be a strong boost to ease specification of features,,,,,,,,,1,,1,,,,,
364,17,last word in the descriptioni: Communication : the most important thing that BAs and PMs do!,1,,,,,,,,,,,,,,,
364,123,There is a tension between RE rigour and agile; understanding how this might be addressed in practice is critical for the future of RE,,,1,,,,,,,,,,,,,
370,149,"Visual representation is worth a 1000 words, and nobody wants to read 1000 words. Requirements evolve and this is often missed.",1,,,,,,,,1,,,,,,,
372,12,Provide a lead in architecture definition,1,,,,,,,,,,,,,,,
375,93,I think an interview-based study can contribute to understanding about this theme. I believe the method is suitable in this context and can contribute a lot.I performed a qualitative study based on interviews and this study help me in my PhD research.,,,,,,,,,,1,,,1,1,,
383,36,Performance ist always a very subjective requirement and thus specification is difficult. Many tools exist to monitor and test performance. However the right method and process to apply are difficult to define.,1,,,,,,,1,,,,,,,,
383,147,It could help to identify the characteristics of the hardware that it will be necesary to install or test for running the project,,,,,,,,,,,1,,,,,
384,132,"Next release planning is criticl decision to make, thus, having a rational method to analyse the risks with all stakeholders are always important.",,1,,,,,,,,1,,,,,,
387,144,Currently we have many projects looking for innovation,,,1,1,,,,,,,,,,,,
389,58,To avoid rework and not-fit-for-purpose solutions on delivery,,,,,,,,,1,,,,,,,
392,119,Techniques to better integrate product managers and business stakeholders with agile team dynamics are very much needed.,,,1,,,1,,,,,,1,,,,
399,30,The people who pay the bills don't always consider all the impact changes can make. having a way to prove what you are recommending is worth while.,,1,,,,,,,,,,,1,,,
403,75,"Traceability is the base for analysis, prediction,... and a big challenge in many companies. If no traceability, no capacity to take the most of analyzing what is done.",,1,,,,,,,,,,,,,,
407,7,It is a problem practitioners struggle with,,1,,,,,,,,,,,,,,
413,20,"Practical problem, where I would love to know the outcome",,1,,,,,,,,,,,,,,
415,115,"Use of automation for processing large models really helps practitioners, saving time and allowing them to work more carefully in refinements (rather than on simple issues that would be caught easily by algorithms)",,1,,,,,,,1,1,,,,,,
