,lfdn,v_18,v_1373
33,286,NotAnswered,NotAnswered
34,291,I'd like to see research into the relationships between the requirements specified for each perspective in the Zachman framework and those of other perspectives.,NotAnswered
35,292,NotAnswered,NotAnswered
36,296,How to best apply professional requirement engineering together with agile development methods.,NotAnswered
37,298,what prevents REs to negotiate requirements more/better. What negotiation approaches are used? ,NotAnswered
38,299,Tools currently in use for the requirements process,NotAnswered
39,301,NotAnswered,NotAnswered
40,306,"1.We face a lot problems with RE and ALM tools. There are several tools but until non of this tools realy covers our requirements. Do research and identify common requirements fir these tools. Developer new tools and integrate additional tools as they are build in phd thesisis.  2. Do more research in specific business domains and provide domain specific reports how RE can be done and how to face domain specific challanges.  3. Include technology changes in the RE research. How do we need to change RE processes, documents,... If we change the software architecture (monolit, soa, microservice, cloud,...). ",In the list of topic descriptions it is sometims only one word that has a high impact to decrease the practical relevance. Maybe the results of this study would be diffenent if you reduce the list to  key words. 
41,308,NotAnswered,NotAnswered
42,310,"The main issue is to make research around practical methods and techniques for doing requirements elicitation, requirements specification, and requirements validation. Focus within Software Engineering (Requirements Engineering) is on a level that is far to high and abstract (frameworks, philosophy, theory). The industry needs a toolbox with techniques and practices that work. It is often about the small things: how to conduct an interview with a customer; where to find raw information (organizational charts, service descriptions, product documentation); how to validate requirements (through documents or through triangulation); how to document the results of a customer meeting (Minutes of Meeting). The industry is completely void when it comes to having a toolbox with techniques and methods such as these. It is too much theory and high-level talk. You have all these techniques in research (this questionnaire, open-ended interviews, structured interviews, observations), but the industry use post-its. ",NotAnswered
43,320,"Transition from research to practice and the associated cost (overcoming management resistance)  Get researcher(s) embedded with real life system engineering teams and uncover new research areas.  Independent evaluations of system engineering processes and tools (obviously not all of them are equal), and the definition of true value metrics",Not at this time
44,326,"team management, requirement management, and systems for managing requirement progress and elimination.",NotAnswered
45,327,NotAnswered,NotAnswered
46,328,"Focus on Change and Version Control (Configuration Management) associated with changing requirements. Modifications to requirements can have an enormous impact on the design, verification, cost and schedule aspects of a project and this impact is often not adequately communicated because of poor change and version control processes.",I have worked with many Project Managers who do not understand the importance of Requirements Engineering and that it is required for the entire length of the project. Too many Project Managers are sceptical about the benefits and value of good requirements engineering and see it as an overhead cost to be reduced as soon as possible rather than as an essential foundation process. There needs to be better integration of the Project Management and Engineering disciplines so that both have a solid understanding of the importance of each others essential foundation processes.
47,341,NotAnswered,NotAnswered
48,342,from experience I have found that the alignment of the requirements to the vision and strategy is not always managed well. The Vision and Strategy is defined by one group of stakeholders and the requirements are elicited from another group of stakeholders. The Business Analysts do not always aske how the various requirements tie back to the Vision or Strategy. At the same time during the project life cycle as the requirements are changed to alignment to the strategy or vision is not necessarily revised or revisited.,"Most organisations are moving away from requirements engineering, as the new buzz word, Agile, is now the in thing. User stories are not always clear as they are at a higher level than a requirement will be. The organisaton may believe they are being agile, yet that still seem to be in waterfall, should the project fail they blame the people and not the lack of requirements engineering. I find that projects want to follow to many methodologies, which need not always align, and in doing this they, the focus on project success is lost."
49,343,NotAnswered,NotAnswered
50,346,"- automatic or semi automatic tracebility from first user requirement (later from issues) to code.  - guidelines for modelling from coarse to fine grained, templates for requirements on each level ...",NotAnswered
51,347,Design processes and their complexity. We are constantly trying to push software engineering into a linear process (even with agile) but it is and will Always will be a circular and reflective process. ,NotAnswered
52,349,Automation in requirements engineering and usability requirements. ,NotAnswered
53,354,NotAnswered,NotAnswered
54,363,NotAnswered,NotAnswered
55,369,NotAnswered,NotAnswered
56,370,NotAnswered,NotAnswered
57,371,How to set up requirements so that   1) At the most global level everything is described  2) The requirements engineers and the requirements users can track easily what is described up to which detail level   3) The requirements engineers and the requirement users can easily  zoom-in  and  zoom-out  between different detail levels.   In our agile environment that would help us much.,"Some quetins were not understandable to me, partly because of typos maybe, of grammar errors:  A method for searching certain classes of potential problems in business process models related to their incompleteness of the ambiguity of their labels.  An experiment with students for investigating reading patterns and learning styles of software requirement inspectors for in order to enhance inspection team outcome.    "
58,372,Dependencies and life-cycles of component technologies.,NotAnswered
59,374,"- Human-centric (natural language supported, AI supported) assistance for formal specification and disambiguation of requirements with multifaceted inter-role linkage, that is, supporting that multi-disciplinary stakeholders collaborate on agile, computed processed, formalization of requirements  - Generic strategies for binding requirements to software concepts and entities, including information/data entities, in diverse application and technology domain",NotAnswered
60,375,NotAnswered,NotAnswered
61,376,NotAnswered,NotAnswered
62,380,NotAnswered,NotAnswered
63,383,Automatic structuring of requirements belonging to a complete system and detection of contradicting requirements or near duplicates,NotAnswered
64,387,NotAnswered,NotAnswered
65,389,"Consider agile development process.  From the requirements known at the beginning of the project, 50% are not needed at the end of the project.  During the development process 50% new requirements are coming up as the customer understands more details of what he wants.  ",NotAnswered
66,395,Main focus of my work is on working in an agile development environment but having a big set of requirement requests from the product requester and sponsor. Managing this difficult situation between agile development and waterfall-like requirement setting is key for my work.,NotAnswered
67,399,NotAnswered,NotAnswered
68,400,NotAnswered,NotAnswered
69,405,NotAnswered,NotAnswered
70,409,-,no
71,411,No,no
72,415,methods for analysing how requirements cover the needs during the elicitation phase,NotAnswered
73,416,Standardization and automation of requirements elicitation to define what happens between material is gathered and documented. ,"I am glad you are doing research in that area. We need to improve RE to make it industrial. Right now, requirements elicitation is more of a craft and art, than science. It makes results unpredictable."
74,418,NotAnswered,NotAnswered
75,423,- Requirements specification evolution (how could we update them in an easy way as requirements may change in agile contexts).  - How to convince practitioners that requirements specifications are more than  mandatory  documents but also useful  - How to convince practitioners that testing needs requirements to be specified  - How to convince practitioners that agile does not imply absence of requirements,NotAnswered
76,438,"study of normative requirements and how they are translated to other requirements, which may lead to software or other kinds of realizations",NotAnswered
77,442,NotAnswered,NotAnswered
78,445,Interview.  Needs extraction  System Requirements approach extracted from need  Context clarification  Quality aspects at system level  ,Discovery of quality needs must be addressed more specifically
79,446,NotAnswered,NotAnswered
80,447,"1. Benefits definition, alignment, measurement, and realisation in the real world. Lots of people talk about this but the practice seems to be very light.  2. Practical transition to agile. We've been using agile for 5 years and it still feels like it all depends on the people involved and the client. This was much less so prior to 'agile'.  3. RE and design thinking. We have been successfully using design thinking to kick off projects for the past year. The blend into formal requirements is a little awkward as people are inspired and go through a flattening phase when we move into user stories etc at the end of the DT process.",NotAnswered
81,448,The transition from waterfall to iterative approaches - for us and all stakeholders.,NotAnswered
82,454,"Security, and if we introduce the security analysis techniques and security engineering practice in the early phase of RE cycle, maybe we will have a higher ROI.",NotAnswered
83,461,NotAnswered,NotAnswered
84,463,NotAnswered,NotAnswered
85,466,"How to validate requirements (or specifications, prototypes, ...) with actual users to understand/validate the actual value they would have. Many requirements are implemented *before* getting feedback on their actual value meaning resources are wasted. ",The survey missed options for answers such as   Don't understand (the suggested topic)  and  Don't know (the relevance) 
86,475,NotAnswered,NotAnswered
87,479,NotAnswered,NotAnswered
88,484,"Standard documentation, communication methods, consistent releases",NotAnswered
89,490,"do the requirements are provided by the PO or a group of selected users or even personas?  what is the best way to show how this requirements will be made? through sketches, mockups, flow diagrams?  after the implementation the requirements correspond to the requirements of the client?  how can we test these correspondence?",how the industry is using agile requirements?  there are many researches about the agile requirements topic?  how the academy are exploring this subject?  are the students prepared enough to work with agile requirements?  which are the main problems of agile requirements and which are the possible ways to fix it or minimize it?
90,494,"A way to annotate code with requirements. Some time after development and because of team rotation knowledge is lost.  Why is doing this in that way? ,  When is this code executed? ,  Why this condition is being checked? ,  Can we delete this rare alternative path?  are usual questions after a while. ",NotAnswered
91,500,Emphasize the updation of requirement and tracibility,Will be interested in giving more inputs if required
92,510,- advanced methods  - Problem solving methods  - complex methods  - methods for complex products,NotAnswered
93,511,NotAnswered,NotAnswered
94,512,The study of the requirements process and how they plan to gather the requirements from the identified key stakeholders.,
95,515,Common understanding of the domain and business needs to start an ongoing dialog of Business needs and technical view to ensure good trade-off decisions,good practices (try / avoid) concerning project documentation (archived after project) vs. product documentation (kept up-to-date)
96,523,NotAnswered,NotAnswered
97,525,"How to track changes in requirements, the reason for the change and last but not least: how to communicate these changes to a team that is currently working with these requirements in short sprints",NotAnswered
98,526,A study that gives an overview which industires use model driven requirements engineering and what they experienced and what are the differences.  ,NotAnswered
99,541,NotAnswered,NotAnswered
100,544,Addressing the tacit knowledge problem.  Investigate impact of management support for the requirement task  Review effectivity of Agile methods as compared with traditional methods in the  accuracy  of requirements elicitation. Use real data.,Kudos for your contribution to the discipline
101,545,"requirements must can be understand clearly for everyone, and must write all in document.",NotAnswered
102,552,"As a general criteria: Check, that the needed prerequisites have a certain likelihood to be fulfilled (i.e. do not focus on too exotic project Settings, but also: do research with examples of reasonable size; solutions that work only on toy example size are of no benefit).   Potential topics/problems: Combining natural language and model-based specifications.","I consider the one-dimensional evaluation of research results as suboptimal. I classified nearly all research as  ok ,, but for several reasons. Sometimes the investigated problem was interesting, but the research approach was sub-optimal. For other papers I liked the approach but considered the problem to be of less improtance/relevance to me. "
103,555,NotAnswered,NotAnswered
104,561,"I think it is important that how to integrate the requirements of complicated stakeholders.  And it is also important to derive real demands from statements of stakeholders.  In recent years, production technology (how to make a system) has developed and achieved high productivity, but we still trial and error about  what to make .",NotAnswered
105,563,What artifacts is useful to support in describing system over time and learn team what to do.,NotAnswered
106,565,NotAnswered,NotAnswered
107,571,"How to figure out, what is just enough RE (A. Davis)",NotAnswered
108,572,NotAnswered,NotAnswered
109,576,NotAnswered,NotAnswered
110,577,NotAnswered,NotAnswered
111,578,Consistent Classifciation of requirements (functional / nonfunctional) f.e. categorization by Martin glinz; Consistent representation form: Selection of an appropriate Pattern for NL or a an appropriate modeling form,NotAnswered
112,579,NotAnswered,NotAnswered
113,582,Ways to improve the requirement management processes and make it more efficient for development projects which involves cross competence teams.  ,NotAnswered
114,585,"A set of natural language fallacies that hide, or miscommunicate the real requirements is a necessary point in today's RE research",NotAnswered
115,589,"There is a huge need to organize requirements-related datasets, not only for automated mining but also for qualitative analysis.",NotAnswered
116,590,How can we structure requirements in changing contexts? How can we select the necessary requirements engineering practices without overshooting the efforts? Which are methods to tailor requirements engineering practices to a given situation?   How can we cope with situation where a large part of the requirements engineering tasks need to be done by untrained persons? Can we provide them with guidance to improve? How can we support people in effectively reviewing requirements?  ,NotAnswered
117,593,"How to structure requirements in general, and how to enable reuse by reasonable structuring.",NotAnswered
118,597,"-How to scale requirement engineering in agile development work (in mid sized or large organizations).  -How to do minimal, yet useful req handling in agile development work?  -How to make req handling in agile development work transparent/accessible to all involved parties of the development organization?",NotAnswered
119,618,"Integration of your techniques and models with Agile development methodologies and Agile architecture methods and tools. In the real-world, teams are organized in small agile teams orchestrated by architecture work. At both levels requirements are very relevant, but the tools used to specify and validate them IMHO are very diferent to what classical academic research on RE is concerned with. Therefore, analyse those methods and tools and try to provide solutions that are realistic to their problems; as I said, in agile development and agile architecture methods and tools.",NotAnswered
120,620,how to capture and represent ideas regarding innovation projects.,no
121,625,NotAnswered,NotAnswered
122,634,- Interaction between clients and requirements analysts  - Requirements validation  - Effectiveness of certain requirements techniques,NotAnswered
123,638,1) Techniques for identifying unstated needs  2) Techniques for identifying requirements/stories with potential hidden complexity (the icebergs),"I struggle to see how RE and business analysis standalone as two seperate disciplines: business analysis is the discipline of developing an understanding of needs and developing solutions to address those needs (defined by requirements); RE seems to be a more narrowly focussed, best described as a set of techniques that ensure requirements are rigorously defined and elaborated.  I can see the value of rigorous RE in safety critical areas and situations where the minimum viable product is close to 100% of the solution, but in my world much of the solutions we define are shaped by emergent understanding/properties established by iteration and learning by doing.  Consequently our requirements are largely scope, vision and high level outcomes; there is little opportunity or value for formally 'engineering' requirements beyond this level of detail."
124,642,"First of all I'll ask a factive way to meet both client's requests and dev team's requests. Requirements are often written in a business oriented view only, but a good requirement engineer has to keep in mind that he/she has to interface also with a dev team, an architect and some testers. So, first of all we have to find a factive way to present requirements for all groups in a clear and consistent manner.  Secondly, we are people that work together. Psicology and communication styles are really important.",I don't have ireb certifications but I would like to plan it in future.
125,643,How to capture/extract requirements based on behavioral metrics collected from users using the product developed/maintained by the software organization.,NotAnswered
126,650,"The most important part of a requirement is defining it as one or more tasks. And the most difficult part of one task is to assure it's completely done. Therefore, I would say that some kind of guarantee (i.e.: an acceptance test) that the requirement is fulfilled, so the coder could check if s/he has done correctly (i.e.: running the test )",NotAnswered
127,666,Transitioning from classic development to agile development while maintaining an existing requirement base.,NotAnswered
128,682,I think you could address the challenges related to the user experience and user journey.,"No, that's enough.   Thank you."
129,716,First: Identify customer need and customer requirements.  Second: Set up scenarios how it shall be used and not to be used.  Third: Define the anatomy of the Product/system so you get an overall view of what to design according first and second step.   Fourth:   Choose a requirement strategy and tool if it not set Before.  Fifth: Identify the interfaces and document these  Six: Define and document the system requirements.   Seventh: Define and document the SW and HW etc requirements.  Eighth: Identify what can be sourced in and what to be designed in house.  Ninth: Do the design and start testing.  Tenth: Deliver Product / service.  Eleventh: Support the Product / service  ,The base for good requirement handling is that the persons understand what does the customer / Product owner expected and to what level are these willing to put in Money for. Also to understand how the product expected to work and react in different scenarios.
130,772,NotAnswered,NotAnswered
131,774,NotAnswered,NotAnswered
132,775,"I would like to suggest the following topics to them: 1. please work on a requirement search tool that can help clients suggest reference to similar well-documented systems features and specifications for reference; 2. Please work on natural language processing tools with embedded requirements analysis knowledge that can check for inconsistencies, dependencies, omissions in natural language requirements specifications, and extract key information for making architectural design decisions and selection of services. ",NotAnswered
133,784,I think the most important thing is helping PM make sure which option is better: 1. PM determine what users like and need  2. PM cater to all users tastes. ,no
134,792,face to face interview skills for gain system requirement is needed.,you do a good job.
135,852,I don't think requirement is used a lot in enterprise and IT companies.,NotAnswered
136,866,NotAnswered,NotAnswered
137,872,NotAnswered,NotAnswered
138,881,NotAnswered,NotAnswered
139,885,Requirements always  changing due to business domain and logic changed   Also requirements changed might due to third party requirements changed.,NotAnswered
140,890,"How could you train, improve the product owner role?  How to conduct the product owner role in a multi-stakeholder situtation?   ",NotAnswered
141,906,"NLP and requirements quality assessment (to what degree, if at all, can it truly be automated? - and at what fidelity are the results?); semiformal techniques for functional safety requirements specification",NotAnswered
142,915,How agile thinking and agile methodology affect more traditional requirements engineering work.  Whats the level of good enough specification of requirements?,NotAnswered
143,919,NotAnswered,NotAnswered
144,922,Improve the alignment between real needs and requirements,NotAnswered
145,930,"A complete metamodel for the Re domain including hazard, security, use cases, products and product features, etc. Without such a model it is nearly impossible to determine that a requirement set is semantically complete and correct.",How to handle regulatory requirements on large infrastructure projects without going way over budget
146,939,Examples of complex requirements that never resulted in failed tests or quality escapes.,I left some answers blank because there was no entry for  I don't understand this statement well enough to evaluate it. 
147,944,"They should focus in write correctly the requirements, using some standards like IEEE, in that standard there are many features to consider, for example be careful with the number of verbs, do not use negative words, do not use superlatives, do not use adverbs etc.","Too many year ago i was working in avionics project but i had a little problem with the requirements specification, my coworker suggest to me to make a little report but that specification was wrong, so i decided research some standar to identify the particular elements that must have an specification requirementes, so as to i recomend to use the IEEE's standard, that was a better guidance to achive my objective."
148,965,Provide some guidelines and set of best practices that can/should be applied in projects with different dimensions.,No.
149,995,They should first understand the context of my work area. It seems to me (just a feeling) that a lot of the work on requirements comes from a context where legal aspects are important (e.g. aviation) and/or where the development model is inspired by a mechanical history (e.g. cars). In other words not relevant to a lot (maybe most?) of software development done in the world.,It would have helped to have your definition of what  requirements  are. People seem to have a lot of different definitions.
150,1015,NotAnswered,NotAnswered
151,1024,How to define customer value which is a main part of prioritization in agile environments. A practical approach that can easily be applied in any context would be helpful. So it might be helpful to research what approaches are successful and what are not (so successful).,NotAnswered
152,1027,.,NotAnswered
153,1029,I would like to have a way to relate the system requirements with the code that support those requirements,NotAnswered
