PaperID,Title,Authors,Venue,Year,NumberOfPages,AcadVsInd,IndTrack,Summary
18,A Case Study on Tool-Supported Multi-level Requirements Management in Complex Product Families,"Bittner, M.; Reiser, M.-O.; Weber, M.",REFSQ,2010,14,Academic,No,A case study for validating a multi-level approach for planning and managing variability and reuse across independent product ranges in a product family
19,Videos vs. Use Cases: Can Videos Capture More Requirements under Time Pressure?,"Brill, O.; Schneider, K.; Knauss, E.",REFSQ,2010,14,Academic,No,A method for using low-effort ad-hoc videos as a concrete representation of early requirements in order to avoid misunderstandings in the early phases of a project
20,A Domain Ontology Building Process for Guiding Requirements Elicitation,"Omoronyia, I.; Sindre, G.; Stalhane, T.; Biffl, S.; Moser, T.; Sunindyo, W.",REFSQ,2010,14,Academic,No,A method for building domain ontologies suitable to guide requirements elicitation in order to reconcile gaps in the knowledge and common understanding among stakeholders
21,Requirements Determination is Unstoppable: An Experience Report,"Berry, D.M.; Czarnecki, K.; Antkiewicz, M.; AbdElRazik, M.",RE,2010,6,Academic,Yes,An interview-based study for explaining the causes of an unsatisfactory RE process in a company in order to identify improvement points
22,Dealing with Non-Functional Requirements in Model-Driven Development,"Ameller, D.; Franch, X.; Cabot, J.",RE,2010,10,Academic,No,An analysis on the integration of non-functional requirements into model-driven development processes in order to include this type of requirements into such processes
23,Manufacturer-Supplier Requirements Synchronization Using Exchange Containers and Multi-Level Systems,"Bittner, M.; Reiser, M.-O.; Glathe, H.; Weber, M.",RE,2010,6,Mixed,Yes,A method for systematically and repeatedly exchanging requirements between manufacturers and suppliers.
24,Model Based Requirements Analysis and Testing of Automotive Systems with Timed Usage Models,"Siegl, S.; Hielscher, K.-S.; German, R.",RE,2010,6,Academic,Yes,A method for formally representing requirements in order to facilitate their analysis and serve as basis for the testing process
25,Do We Know Enough about Requirements Prioritization in Agile Projects: Insights from a Case Study,"Racheva, Z.; Daneva, M.; Sikkel, K.; Herrmann, A.; Wieringa, R.",RE,2010,10,Academic,No,A multi-case study on agile prioritization and business value delivery in order to empirically corroborate or contradict some common assumptions on agile practices
26,Creating Safety Requirements Traceability for Assuring and Recertifying Legacy Safety-Critical Systems,"Hill, J.; Tilley, S.",RE,2010,6,Academic,Yes,"A process for creating traceability links between safety requirements, safety taxonomies, and safety risks in order to assure and recertify legacy safety-critical systems"
27,An Experimental Comparison Regarding the Completeness of Functional Requirements Specifications,"Menzel, I.; Mueller, M.; Gross, A.; Doerr, J.",RE,2010,10,Mixed,No,A method for assessing the completeness of specification documents in order to avoid subjectiveness in such completeness assessment
28,Successful Deployment of Requirements Traceability in a Commercial Engineering Organization...Really,"Panis, M.C.",RE,2010,5,Industry,Yes,An experience report on the value provided by requirements traceability in a commercial engineering company and a discussion of success factors
29,Using Cognitive Mapping to Elicit Modelling Requirements: An Overview,"El Sawah, S.; McLucas, A.; Ryan, M.",RE,2010,7,Academic,Yes,An experience report on the development of a simulation tool for the communication along requirements modelling.
30,Domain Engineering with Event-B: Some Lessons We Learned,"Mashkoor, A.; Jacquot, J.-P.",RE,2010,10,Academic,No,An experience report on modeling a safety critical domain using a formal method in order to better understand its adequacy for domain engineering
31,Dependability Arguments with Trusted Bases,"Eunsuk Kang; Jackson, D.",RE,2010,10,Academic,No,A method for structuring a system so that critical requirements are localized in reliable subsets of its components in order to guarantee system's dependability largely by construction
32,"Big Ears (The Return of ""Easy Approach to Requirements Engineering"")","Mavin, A.; Wilkinson, P.",RE,2010,6,Industry,Yes,"A document-driven study for refining, assessing and deriving lessons learned of a set of templates for requirements written in natural language"
33,Risk-based Confidentiality Requirements Specification for Outsourced IT Systems,"Morali, A.; Wieringa, R.",RE,2010,10,Academic,No,A method for specifying confidentiality requirements in service level agreements in order to provide proof of being in control of outsourced IT assets
34,An NFR Pattern Approach to Dealing with NFRs,"Supakkul, Sam; Hill, T.; Chung, L.; Thein Than Tun; Sampaio do Prado Leite, J.C.",RE,2010,10,Academic,No,A method for capturing and reusing patterns of knowledge on non-functional requirements in order to properly manage the large body of knowledge in this field
35,Using Integer Constraint Solving in Reuse Based Requirements Engineering,"Salinesi, C.; Mazo, R.; Diaz, D.; Djebbi, O.",RE,2010,9,Academic,No,A method for using integer constraint programming to specify product line constraints in order to facilitate the configuration of a product
36,Using Business Goals to Inform a Software Architecture,"Clements, P.; Bass, L.",RE,2010,10,Academic,No,A method for eliciting business goals and linking them to quality requirements of the system in order to allow software architects to understand the business goals of the system
37,Requirements-Aware Systems: A Research Agenda for RE for Self-adaptive Systems,"Sawyer, P.; Bencomo, N.; Whittle, J.; Letier, E.; Finkelstein, A.",RE,2010,9,Academic,No,A discussion on the need of future research on operationalizing requirements as runtime entities that can be reasoned over in order to support self-adaptation decisions
38,Enhancing Customer Partnership Through Requirements Framework,"Vijayamma, D.K.; David, N.Y.",RE,2010,6,Industry,Yes,An experience report on the application of a requirements framework developed after a root cause analysis in order to enhance customer partnerships in an IT company
39,Automated Requirements Traceability: The Study of Human Analysts,"Cuddeback, D.; Dekhtyar, A.; Hayes, J.H.",RE,2010,10,Academic,No,An experiment with students on investigating if human analysts make the right decisions when reviewing requirements traceability matrices generated by automated techniques
40,Application of Swarm Techniques to Requirements Engineering: Requirements Tracing,"Sultanov, H.; Hayes, J.H.",RE,2010,10,Academic,No,"A method for generating requirements traceability matrices considering the unique properties of requirements, e.g. small datasets"
41,User Experience Grading Via Kano Categories,"Primrose, M.C.",RE,2010,6,Industry,Yes,"A method for grading the implementation of use cases, features and requirements from a usability perspective in order to determine if a product meets its usability requirements"
42,"Techne: Towards a New Generation of Requirements Modeling Languages with Goals, Preferences, and Inconsistency Handling","Jureta, I.J.; Borgida, A.; Ernst, N.A.; Mylopoulos, J.",RE,2010,10,Academic,No,A modeling language for specifying the system and finding criteria to compare candidate solutions at the early phases of requirements engineering
43,Using Mobile RE Tools to Give End-Users Their Own Voice,"Seyff, N.; Graf, F.; Maiden, N.",RE,2010,10,Academic,No,A method for allowing end-users to document their needs in situ using their mobile devices in order to support end-user involvement in requirements elicitation
44,Why Requirements Engineering Fails: A Survey Report from China,Lin Liu; Tong Li; Fei Peng,RE,2010,6,Mixed,Yes,An online survey with practitioners on understanding what requirements elicitation and representation practices and techniques do not work well in China
45,Requirements Engineering Decisions in the Context of an Existing Architecture: A Case Study of a Prototypical Project,"Ferrari, R.; Madhavji, N.H.; Sudmann, O.; Henke, C.; Geisler, J.; Schafer, W.",RE,2010,10,Academic,No,"A case study on understanding the effects of system architectures on RE decisions, the characteristics of such decisions and their impact on development activities"
46,Transition to Agile Development - Rediscovery of Important Requirements Engineering Practices,"Savolainen, J.; Kuusela, J.; Vilavaara, A.",RE,2010,6,Industry,Yes,An experience report on the lessons learned from two projects about the transition from classical development process into agile development
47,Extending Nocuous Ambiguity Analysis for Anaphora in Natural Language Requirements,"Hui Yang; De Roeck, A.; Gervasi, V.; Willis, A.; Nuseibeh, B.",RE,2010,10,Academic,No,A method for classifying ambiguities in natural language requirements and inform the analyst of the potentially dangerous cases in order to prompt further elicitation
48,A Method for Identifying Software Requirements Based on Policy Commitments,"Young, J.D.; Anton, A.I.",RE,2010,10,Academic,No,A multi-case study for a commitment analysis method that can be used to obtain requirements from policy documents in order to validate it
49,Requirements Engineering as Creative Problem Solving: A Research Agenda for Idea Finding,"Maiden, N.; Jones, S.; Karlsen, K.; Neill, R.; Zachos, K.; Milne, A.",RE,2010,10,Academic,No,A vision for proposing the exploration and transfer from other disciplines of creative problem solving practices in order to frame RE as a creative problem solving process
50,"Comparison of Requirements Hand-off, Analysis, and Negotiation: Case Study","Fricker, S.; Glinz, M.",RE,2010,10,Academic,No,A case study on the application of a requirements negotiation and handover process in order to study its advantages with respect to requirements volatility and requirements understanding.
51,Fuzzy Goals for Requirements-Driven Adaptation,"Baresi, L.; Pasquale, L.; Spoletini, P.",RE,2010,10,Academic,No,"A method for incorporating goals that are able to adapt along time into requirement models, which embed adaptation countermeasures that are triggered when goals are violated"
52,Decision Support for Product Release Planning Based on Robustness Analysis,"Al-Emran, A.; Pfahl, D.; Ruhe, G.",RE,2010,10,Academic,No,A method for selecting the strategic release plan that is most robust against assumed changes in resource allocation and availability
53,Integrating Preferences into Goal Models for Requirements Engineering,"Liaskos, S.; McIlraith, S.A.; Sohrabi, S.; Mylopoulos, J.",RE,2010,10,Academic,No,A formal framework for expressing optional and preferred requirements and associated techniques to search for design alternatives that best satisfy the given preferences.
54,Using i* Modelling as a Bridge between Air Traffic Management Operational Concepts and Agent-based Simulation Analysis,"Lockerbie, James; Bush, D.; Maiden, N.; Blom, H.; Everdij, M.",RE,2010,6,Mixed,Yes,An experience report on the use of a requirements modeling language that relate informal operational concepts with formal simulation models in order to provide reasoning capabilities to such operational concepts
55,Persuading Software Development Teams to Document Inspections: Success Factors and Challenges in Practice,"Komssi, M.; Kauppinen, M.; Pyha&#x0308;ja&#x0308;rvi, M.; Talvio, J.; Mannisto, T.",RE,2010,6,Mixed,Yes,A case study for identifying success factors and challenges involved in persuading review teams to document inspections in order to improve defect discovering
56,Extending Automated Analysis of Natural Language Use Cases to Other Languages,"Sinha, A.; Paradkar, A.; Takeuchi, H.; Nakamura, T.",RE,2010,6,Industry,Yes,A method for extending automated analysis of natural language use cases to any other language in order to aggregate multilingual use cases in multi-national projects
57,Effort and Quality of Recovering Requirements-to-Code Traces: Two Exploratory Experiments,"Egyed, A.; Graf, F.; Grunbacher, P.",RE,2010,10,Academic,No,An experiment with students on manually recovering trace links between requirements and code in order to identify where requirements are implemented
58,On the Effectiveness of Abstraction Identification in Requirements Engineering,"Gacitua, R.; Sawyer, P.; Gervasi, V.",RE,2010,10,Academic,No,A method for identifying single- and multi-word terms that have a particular significance in a given domain in order to characterize the most salient features of the document in which they appear
59,An empirical study of specification by example in a software engineering tool,"Qattous, Hazem, Philip Gray, and Ray Welland",ESEM,2010,10,Academic,No,"An experiment with students for assessing a given constraint definition technique in order to improve the correctness, efficiency and user satisfaction when using meta-CASE tools."
60,On the Effectiveness of Screen Mockups in Requirements Engineering: Results from an Internal Replication,"Ricca, Filippo and Scanniello, Giuseppe and Torchiano, Marco and Reggio, Gianna and Astesiano, Egidio",ESEM,2010,10,Academic,No,An experiment with students on the inclusion of screen mockups in use cases in order to improve the understandability of functional requirements with no significant impact on effort.
61,A Comprehensive Characterization of NLP Techniques for Identifying Equivalent Requirements,"Falessi, Davide and Cantone, Giovanni and Canfora, Gerardo",ESEM,2010,10,Academic,No,A case study for characterizing natural language processing techniques and compare their support in detecting equivalent requirements.
62,On-demand feature recommendations derived from mining public product descriptions,"Horatiu Dumitru, Marek Gibiec, Negar Hariri, Jane Cleland-Huang, Bamshad Mobasher, Carlos Castro-Herrera, Mehdi Mirakhorli",ICSE,2011,10,Academic,No,A method for analyzing product descriptions from publicly available online specifications in order to model and recommend product features for a given domain
63,Run-time efficient probabilistic model checking,"Antonio Filieri, Carlo Ghezzi, Giordano Tamburrelli",ICSE,2011,10,Academic,No,A method for generating a probabilistic model from a set of requirements in order to verify system requirements at runtime
64,Reverse engineering feature models,"Steven She, Rafael Lotufo, Thorsten Berger, Andrzej Wasowski, Krzysztof Czarnecki",ICSE,2011,10,Academic,No,A method for recovering a feature model from the existing software product line in order to reduce modeling effort
65,Improving requirements quality using essential use case interaction patterns,"Massila Kamalrudin, John G. Hosking, John C. Grundy",ICSE,2011,10,Academic,No,"A method for performing semi-automated checking of combined natural language and semi-formal requirements models in order to ensure their consistency, completeness and correctness"
66,ReLink: recovering links between bugs and changes,"Rongxin Wu, Hongyu Zhang, Sunghun Kim, Shing-Chi Cheung",ESEC/FSE,2011,10,Academic,No,A solution for automatically linking bug reports and committed changes in order to recover missing links
67,Using an SMT solver for interactive requirements prioritization,"Francis Palma, Angelo Susi, Paolo Tonella",ESEC/FSE,2011,10,Academic,No,"A method for prioritizing requirements considering several requirements characteristics, such as stakeholder preferences, technical constraints, implementation costs and user perceived value"
68,CSSL: a logic for specifying conditional scenarios,"Shoham Ben-David, Marsha Chechik, Arie Gurfinkel, Sebastian Uchitel",ESEC/FSE,2011,10,Academic,No,A method for supporting use-case analysis that combines exemplary scenarios and general logical rules in order to allow gradually shifting from examples to the final system specification.
69,Applying Restricted English Grammar on Automotive Requirements - Does it Work? A Case Study,"Post, A.; Menzel, I.; Podelski, A.",REFSQ,2011,14,Mixed,No,A case study for finding out whether a restricted English grammar can be applied in the automotive context in order to support automatic consistency checking
70,Requirements Engineering for Embedded Systems: An Investigation of Industry Needs,"Sikora, E.; Tenbergen, B.; Pohl, K.",REFSQ,2011,14,Mixed,No,An industrial study based on questionnaires and interviews on the current industry needs concerning methodological support for requirements engineering in the embedded systems domain
71,A Heuristic Approach for Supporting Product Innovation in Requirements Engineering: A Controlled Experiment,"El-Sharkawy, S.; Schmid, K.",REFSQ,2011,15,Academic,No,An experiment with students on a method to support creativity in requirements engineering in order to get evidence about its creativity enhancement potential
72,Is it beneficial to match reusable services earlier?,"Adam, S.; Uenalan, O.; Riegel, N.",REFSQ,2011,14,Academic,No,A study based on experiments with students and a case study on the possible benefits of considering existing services and their alignment with requirements at a very early stage in order to exploit the desired benefits of reuse in service-oriented architectures
73,Requirements Engineering Process Improvement: An Industrial Case Study,"Markov, G.A.; Hoffmann, A.; Creighton, O.",REFSQ,2011,13,Industry,No,A case study on a requirements engineering improvement project consisting of a set of techniques applied to solve a handful of previously identified RE-related problems
74,Supporting Requirements Engineers in Recognising Security Issues,"Knauss, E.; Houmb, S.; Schneider, K.; Islam, S.; Jurjens, J.",REFSQ,2011,14,Mixed,No,A method for identifying security-relevant requirements integrated in a workflow of requirements analysis in order to increase security awareness within the software development process
75,E-Service Requirements from a Consumer-Process Perspective,"Henkel, M.; Perjons, E.",REFSQ,2011,14,Academic,No,A method for analysing requirements on e-services from the service consumer's' perspective in order to make them fit smoothly into the service consumers' business processes
76,Agile Requirements Prioritization: What Happens in Practice and What Is Described in Literature,"Bakalova, Z.; Daneva, M.; Herrmann, A.; Wieringa, R.",REFSQ,2011,14,Mixed,No,A case study for finding out which concepts of agile prioritization are shared in practice and in literature and how they are used to provide guidance for prioritization
77,Use cases versus task descriptions,"Lauesen, S.; Kuhail, M.A.",REFSQ,2011,14,Academic,No,"A document-driven study with practitioners and researchers for investigating if use cases are as effective as task descriptions with respect to completeness, correctness and understandability of emerging requirements"
78,Discovering Sustainability Requirements: An Experience Report,"Mahaux, M.; Heymans, P.; Saval, G.",REFSQ,2011,14,Academic,No,"An experience report on the use of tools and techniques for systematic elicitation, analysis and documentation of sustainability requirements in order to minimize negative environmental impact of the software under construction"
79,Understanding clusters of optimal solutions in multi-objective decision problems,"Veerappa, V.; Letier, E.",RE,2011,10,Academic,No,A method for identifying groups of similarly optimal solutions in order to support multi-objective decisions problems
80,A means of establishing traceability based on a UML model in business application development,"Ohashi, K.; Kurihara, H.; Tananaka, Y.; Yamamoto, R.",RE,2011,6,Industry,Yes,A method for defining efficiently trace links among business application artifacts in order to decrease the developer's workload for setting trace links
81,Requirements are slipping through the gaps â€” A case study on causes & effects of communication gaps in large-scale software development,"Bjarnason, E.; Wnuk, K.; Regnell, B.",RE,2011,10,Academic,No,"An interview-based study with practitioners on communication gaps in large-scale industrial RE revealing scale, temporal aspects, common views, and decision structures as main factors that affect the requirements communication."
82,Evolving specifications formally,"Sampath, P.; Arora, S.; Ramesh, S.",RE,2011,10,Industry,No,A method for developing specifications in quick iterations of analyzing and refining a formal specification in order to facilitate rapid evolution of specifications of system features.
83,How to assign cost to “avoidable requirements creep”: A step towards the waterfall's agilization,"Puhl, S.; Fahney, R.",RE,2011,6,Industry,Yes,A solution for quantifying the consequence of stopping RE too early in order to avoid avoidable scope creep.
84,Requirements negotiation for multilayer system components,"Carvallo, J.P.; Franch, X.",RE,2011,6,Academic,Yes,A method for negotiating requirements induced by the selections of off-the-shelf components in order to prevent a selection of unsuited or inappropriate components
85,Challenges of requirements engineering â€” A case study in nuclear energy domain,"Raatikainen, Mikko; Mannisto, T.; Tommila, T.; Valkonen, J.",RE,2011,6,Mixed,Yes,An experience report on the state of the practice of requirements engineering in the nuclear energy domain in Finland
86,Vacuous real-time requirements,"Post, A.; Hoenicke, J.; Podelski, A.",RE,2011,10,Mixed,No,A method for simplifying overly complicated requirements in order to identify specification problems
87,Semi-automatic identification of features in requirement specifications,"Boutkova, E.; Houdek, F.",RE,2011,6,Industry,Yes,A method for semi-automatic extraction of feature models from natural language specifications in order to support requirements reuse.
88,Prioritization of quality requirements: State of practice in eleven companies,"Svensson, R.B.; Gorschek, T.; Regnell, B.; Torkar, R.; Shahrokni, A.; Feldt, R.; Aurum, A.",RE,2011,10,Academic,No,A multi-case study on prioritization of quality requirements in 11 companies in order to help future research on quality requirements to focus investigations on industry-relevant issues
89,What are the day-to-day factors that are preventing business analysts from effective business analysis?,"Wever, A.; Maiden, N.",RE,2011,6,Academic,Yes,An online-survey on factors that prevent business analysts from applying their requirements analysis knowledge in practice.
90,A legal cross-references taxonomy for identifying conflicting software requirements,"Maxwell, J.C.; Anton, A.I.; Swire, P.",RE,2011,10,Academic,No,A method for analyzing cross-references within legal regulations in order to address conflicting requirements.
91,Focusing spontaneous feedback to support system evolution,"Schneider, K.",RE,2011,10,Academic,No,A solution for enabling citizens to report problems with or making suggestions for a software system by smartphone in order to identify new requirements.
92,Software requirements change taxonomy: Evaluation by case study,"McGee, S.; Greer, D.",RE,2011,10,Academic,No,"A case study on the use of a classification of requirements change sources (e.g., market, organization, specification) in order to support change management, improve understanding and risk visibility."
93,Assessing the accuracy of legal implementation readiness decisions,"Massey, A.K.; Smith, Ben; Otto, P.N.; Anton, A.I.",RE,2011,10,Academic,No,A case study on the inability of students to assess whether requirements meet their corresponding legal obligations in order to motivate the need for domain experts and the potential utility of legal requirements metrics.
94,Logical structure extraction from software requirements documents,"Rauf, R.; Antkiewicz, M.; Czarnecki, K.",RE,2011,10,Academic,No,"A solution for extracting logical structures (e.g., use cases, business rules or functional requirements) from rich-text documents written in  general-purpose editors, such as MS Word in order to enable advanced requirements management features."
95,On human analyst performance in assisted requirements tracing: Statistical analysis,"Dekhtyar, A.; Dekhtyar, O.; Holden, J.; Hayes, J.H.; Cuddeback, D.; Wei-Keat Kong",RE,2011,10,Academic,No,"A multi-case study on assisted requirements tracing, a process in which an analyst validates candidate traces produced by an automated requirements tracing tool."
96,Managing requirements uncertainty in engine control systems development,"Nolan, A.J.; Abrahao, Silvia; Clements, P.; Pickard, A.",RE,2011,6,Mixed,Yes,An experience report on the efforts to identify and monitor requirements uncertainty at Rolls-Royce in order to reduce the risk of late rework.
97,Simulating and optimising design decisions in quantitative goal models,"Heaven, W.; Letier, E.",RE,2011,10,Academic,No,A method for simulating quantitative goal models in order to estimate the levels of goal satisfaction contributed by alternative system designs and optimize the system design.
98,"There's never enough time: Doing requirements under resource constraints, and what requirements engineering can learn from agile development","Waldmann, B.",RE,2011,5,Industry,Yes,A discussion on applying agile insights to requirements engineering activities in order to optimize allocation of resources to RE activities
99,Power and politics in requirements engineering: A proposed research agenda,"Milne, A.; Maiden, N.",RE,2011,10,Academic,No,A discussion and solution for examining organizational structures for power relationships in order to support decision-making processes.
100,Risk and argument: A risk-based argumentation method for practical security,"Franqueira, V.N.L.; Thein Than Tun; Yijun Yu; Wieringa, R.; Nuseibeh, B.",RE,2011,10,Academic,No,A method for risk assessment in context of security requirements in order to guide the security argumentation in identifying rebuttals and mitigations for security requirements satisfaction.
101,A context analysis method for embedded systems â€” Exploring a requirement boundary between a system and its context,"Ubayashi, N.; Kamei, Y.; Hirayama, M.; Tamai, T.",RE,2011,10,Academic,No,A method for analysing requirements for embedded systems in order to separate relevant from irrelevant context elements.
102,Reconciling requirements and architectures with the CBSP approach in an iPhone app project,"Vogl, H.; Lehner, K.; Grunbacher, P.; Egyed, A.",RE,2011,6,Mixed,Yes,An experience report on applying component-bus-system-properties in mobile applications in order to refine software requirements to software architectures.
103,Are your sites down? Requirements-driven self-tuning for the survivability of Web systems,Bihuan Chen; Xin Peng; Yijun Yu; Wenyun Zhao,RE,2011,10,Academic,No,A method for relaxing quality or functional requirements that are not crucial to the survival of a web system in order to increase the availability of a specific set of crucial services.
104,Structured and unobtrusive observation of anonymous users and their context for requirements elicitation,"Brill, O.; Knauss, E.",RE,2011,10,Academic,No,A method for eliciting requirements for context-adaptive systems based on observing anonymous users in order to increase the representativeness of the requirements.
105,How interaction between roles shapes the communication structure in requirements-driven collaboration,"Marczak, S.; Damian, D.",RE,2011,10,Academic,No,A case study on roles and communication structures in a software team in order to investigate potential improvements of collaborations driven by requirements.
106,Early failure prediction in feature request management systems,"Fitzgerald, C.; Letier, E.; Finkelstein, A.",RE,2011,10,Academic,No,A method for automatically constructing models in order to predict which feature requests are most likely to fail due to insufficient or inadequate upfront analysis.
107,Disambiguation of industrial standards through formalization and graphical languages,"Dietsch, D.; Arenis, S.F.; Westphal, B.; Podelski, A.",RE,2011,6,Academic,Yes,"An experience report on using traditional requirements engineering techniques, formal methods, and visual narratives to disambiguate natural language safety requirements of industrial standards."
108,Finding incremental solutions for evolving requirements,"Ernst, N.A.; Borgida, A.; Jureta, I.",RE,2011,10,Academic,No,A method for finding desirable design solutions as the requirements change by reusing parts of old solutions in order to minimize the effort required to implement new solutions.
109,On the joint use of i* with other modelling frameworks: A vision paper,"Franch, X.; Mate, A.; Trujillo, J.C.; Cares, C.",RE,2011,10,Academic,No,A discussion on the joint usage of i* goal models with other modeling frameworks in order to combine the advantages of goal-oriented RE with other paradigms
110,Out of the labyrinth: Leveraging other disciplines for requirements traceability,"Gotel, O.C.Z.; Morris, S.J.",RE,2011,10,Academic,No,A discussion of the concepts of tracing across multiple disciplines in order to illustrate how existing practices in requirements tracing could be leveraged.
111,Integrating analysis of customers' processes into roadmapping: The value-creation perspective,"Komssi, M.; Kauppinen, M.; Tohonen, H.; Lehtola, L.; Davis, A.M.",RE,2011,10,Academic,No,An action research study on roadmapping problems of two software product companies in order to shift the focus of roadmapping from prioritization of software features to analysis and prioritization of customers' processes
112,An Experimental Evaluation of the Impact of System Sequence Diagrams and System Operation Contracts on the Quality of the Domain Model,"Briand, Lionel and Labiche, Yvan and Madrazo-Rivera, Reymes",ESEM,2011,10,Academic,No,A set of four experiments with students on the impact of System Sequence Diagrams and System Operation Contracts in order to assess the quality of the system domain model
113,Generating obstacle conditions for requirements completeness,"Dalal Alrajeh, Jeff Kramer, Axel van Lamsweerde, Alessandra Russo, Sebastian Uchitel",ICSE,2012,10,Academic,No,A method for generating a set of obstacle conditions corresponding to exceptional conditions that may obstruct system goals in order to detect missing requirements.
114,Partial models: Towards modeling and reasoning with uncertainty,"Michalis Famelis, Rick Salay, Marsha Chechik",ICSE,2012,10,Academic,No,A method for reasoning with partial models that capture uncertainty coming from multiple open choices in early specification stages in order to support modeling when requirements are still to be clarified
115,A tactic-centric approach for automating traceability of quality concerns,"Mehdi Mirakhorli, Yonghee Shin, Jane Cleland-Huang, Murat Ã‡inar",ICSE,2012,10,Academic,No,A method for automating the construction of traceability links for architectural tactics in order to support software maintenance and preserve architectural qualities
116,Automated extraction of security policies from natural-language software documents,"Xusheng Xiao, Amit M. Paradkar, Suresh Thummalapenta, Tao Xie",FSE,2012,10,Mixed,No,"A method for transforming security policies expressed in natural language to a formal, processable form in order to detect inconsistencies in access control policies"
