PaperID,PaperSummary,Tag
18,A case study for validating a multi-level approach for planning and managing variability and reuse across independent product ranges in a product family,what:phase:management
19,A method for using low-effort ad-hoc videos as a concrete representation of early requirements in order to avoid misunderstandings in the early phases of a project,what:challenge:people_communication
20,A method for building domain ontologies suitable to guide requirements elicitation in order to reconcile gaps in the knowledge and common understanding among stakeholders,what:challenge:people_communication
20,A method for building domain ontologies suitable to guide requirements elicitation in order to reconcile gaps in the knowledge and common understanding among stakeholders,what:phase:elicitation
21,An interview-based study for explaining the causes of an unsatisfactory RE process in a company in order to identify improvement points,what:challenge:failure
21,An interview-based study for explaining the causes of an unsatisfactory RE process in a company in order to identify improvement points,what:challenge:process_improving
22,An analysis on the integration of non-functional requirements into model-driven development processes in order to include this type of requirements into such processes,what:information:quality_all
23,A method for systematically and repeatedly exchanging requirements between manufacturers and suppliers.,what:challenge:people_communication
23,A method for systematically and repeatedly exchanging requirements between manufacturers and suppliers.,what:domain:sector_supplier
24,A method for formally representing requirements in order to facilitate their analysis and serve as basis for the testing process,what:phase:evaluation
25,A multi-case study on agile prioritization and business value delivery in order to empirically corroborate or contradict some common assumptions on agile practices,what:challenge:process_prioritization
25,A multi-case study on agile prioritization and business value delivery in order to empirically corroborate or contradict some common assumptions on agile practices,what:domain:organization_agile
26,"A process for creating traceability links between safety requirements, safety taxonomies, and safety risks in order to assure and recertify legacy safety-critical systems",what:challenge:content_traceability
26,"A process for creating traceability links between safety requirements, safety taxonomies, and safety risks in order to assure and recertify legacy safety-critical systems",what:challenge:context_uncertainty
26,"A process for creating traceability links between safety requirements, safety taxonomies, and safety risks in order to assure and recertify legacy safety-critical systems",what:domain:systemclass_safetycritical
26,"A process for creating traceability links between safety requirements, safety taxonomies, and safety risks in order to assure and recertify legacy safety-critical systems",what:information:quality_safety
27,A method for assessing the completeness of specification documents in order to avoid subjectiveness in such completeness assessment,what:challenge:content_completeness
27,A method for assessing the completeness of specification documents in order to avoid subjectiveness in such completeness assessment,what:challenge:people_subjectivity
28,An experience report on the value provided by requirements traceability in a commercial engineering company and a discussion of success factors,what:challenge:content_traceability
29,An experience report on the development of a simulation tool for the communication along requirements modelling.,what:challenge:people_communication
30,An experience report on modeling a safety critical domain using a formal method in order to better understand its adequacy for domain engineering,what:domain:systemclass_safetycritical
30,An experience report on modeling a safety critical domain using a formal method in order to better understand its adequacy for domain engineering,what:information:quality_safety
31,A method for structuring a system so that critical requirements are localized in reliable subsets of its components in order to guarantee system's dependability largely by construction,what:information:quality_reliability
32,"A document-driven study for refining, assessing and deriving lessons learned of a set of templates for requirements written in natural language",what:challenge:process_standardization
32,"A document-driven study for refining, assessing and deriving lessons learned of a set of templates for requirements written in natural language",what:documentation:naturallanguage
33,A method for specifying confidentiality requirements in service level agreements in order to provide proof of being in control of outsourced IT assets,what:phase:specification
34,A method for capturing and reusing patterns of knowledge on non-functional requirements in order to properly manage the large body of knowledge in this field,what:information:quality_all
34,A method for capturing and reusing patterns of knowledge on non-functional requirements in order to properly manage the large body of knowledge in this field,what:phase:management
35,A method for using integer constraint programming to specify product line constraints in order to facilitate the configuration of a product,what:phase:specification
36,A method for eliciting business goals and linking them to quality requirements of the system in order to allow software architects to understand the business goals of the system,what:challenge:content_traceability
36,A method for eliciting business goals and linking them to quality requirements of the system in order to allow software architects to understand the business goals of the system,what:information:quality_all
36,A method for eliciting business goals and linking them to quality requirements of the system in order to allow software architects to understand the business goals of the system,what:phase:elicitation
37,A discussion on the need of future research on operationalizing requirements as runtime entities that can be reasoned over in order to support self-adaptation decisions,what:general:research
37,A discussion on the need of future research on operationalizing requirements as runtime entities that can be reasoned over in order to support self-adaptation decisions,what:phase:management
38,An experience report on the application of a requirements framework developed after a root cause analysis in order to enhance customer partnerships in an IT company,what:domain:sector_it
39,An experiment with students on investigating if human analysts make the right decisions when reviewing requirements traceability matrices generated by automated techniques,what:challenge:content_traceability
39,An experiment with students on investigating if human analysts make the right decisions when reviewing requirements traceability matrices generated by automated techniques,what:challenge:process_automation
39,An experiment with students on investigating if human analysts make the right decisions when reviewing requirements traceability matrices generated by automated techniques,what:challenge:process_deciding
40,"A method for generating requirements traceability matrices considering the unique properties of requirements, e.g. small datasets",what:challenge:content_traceability
41,"A method for grading the implementation of use cases, features and requirements from a usability perspective in order to determine if a product meets its usability requirements",what:documentation:usecases
41,"A method for grading the implementation of use cases, features and requirements from a usability perspective in order to determine if a product meets its usability requirements",what:information:quality_usability
42,A modeling language for specifying the system and finding criteria to compare candidate solutions at the early phases of requirements engineering,what:phase:specification
43,A method for allowing end-users to document their needs in situ using their mobile devices in order to support end-user involvement in requirements elicitation,what:domain:sector_mobile
43,A method for allowing end-users to document their needs in situ using their mobile devices in order to support end-user involvement in requirements elicitation,what:phase:elicitation
44,An online survey with practitioners on understanding what requirements elicitation and representation practices and techniques do not work well in China,what:phase:elicitation
44,An online survey with practitioners on understanding what requirements elicitation and representation practices and techniques do not work well in China,what:phase:specification
44,An online survey with practitioners on understanding what requirements elicitation and representation practices and techniques do not work well in China,what:region:country_china
45,"A case study on understanding the effects of system architectures on RE decisions, the characteristics of such decisions and their impact on development activities",what:challenge:process_deciding
46,An experience report on the lessons learned from two projects about the transition from classical development process into agile development,what:domain:organization_agile
47,A method for classifying ambiguities in natural language requirements and inform the analyst of the potentially dangerous cases in order to prompt further elicitation,what:challenge:content_unambiguousness
47,A method for classifying ambiguities in natural language requirements and inform the analyst of the potentially dangerous cases in order to prompt further elicitation,what:documentation:naturallanguage
47,A method for classifying ambiguities in natural language requirements and inform the analyst of the potentially dangerous cases in order to prompt further elicitation,what:phase:elicitation
48,A multi-case study for a commitment analysis method that can be used to obtain requirements from policy documents in order to validate it,what:phase:elicitation
49,A vision for proposing the exploration and transfer from other disciplines of creative problem solving practices in order to frame RE as a creative problem solving process,what:challenge:people_skills
49,A vision for proposing the exploration and transfer from other disciplines of creative problem solving practices in order to frame RE as a creative problem solving process,what:general:research
50,A case study on the application of a requirements negotiation and handover process in order to study its advantages with respect to requirements volatility and requirements understanding.,what:challenge:content_understandability
50,A case study on the application of a requirements negotiation and handover process in order to study its advantages with respect to requirements volatility and requirements understanding.,what:phase:analysis
51,"A method for incorporating goals that are able to adapt along time into requirement models, which embed adaptation countermeasures that are triggered when goals are violated",what:information:goals
51,"A method for incorporating goals that are able to adapt along time into requirement models, which embed adaptation countermeasures that are triggered when goals are violated",what:phase:management
52,A method for selecting the strategic release plan that is most robust against assumed changes in resource allocation and availability,what:phase:management
53,A formal framework for expressing optional and preferred requirements and associated techniques to search for design alternatives that best satisfy the given preferences.,what:challenge:process_prioritization
53,A formal framework for expressing optional and preferred requirements and associated techniques to search for design alternatives that best satisfy the given preferences.,what:phase:specification
54,An experience report on the use of a requirements modeling language that relate informal operational concepts with formal simulation models in order to provide reasoning capabilities to such operational concepts,what:challenge:process_formalization
55,A case study for identifying success factors and challenges involved in persuading review teams to document inspections in order to improve defect discovering,what:challenge:process_improving
55,A case study for identifying success factors and challenges involved in persuading review teams to document inspections in order to improve defect discovering,what:phase:evaluation
56,A method for extending automated analysis of natural language use cases to any other language in order to aggregate multilingual use cases in multi-national projects,what:challenge:process_automation
56,A method for extending automated analysis of natural language use cases to any other language in order to aggregate multilingual use cases in multi-national projects,what:documentation:naturallanguage
56,A method for extending automated analysis of natural language use cases to any other language in order to aggregate multilingual use cases in multi-national projects,what:documentation:usecases
57,An experiment with students on manually recovering trace links between requirements and code in order to identify where requirements are implemented,what:challenge:content_traceability
57,An experiment with students on manually recovering trace links between requirements and code in order to identify where requirements are implemented,what:phase:management
58,A method for identifying single- and multi-word terms that have a particular significance in a given domain in order to characterize the most salient features of the document in which they appear,what:documentation:naturallanguage
59,"An experiment with students for assessing a given constraint definition technique in order to improve the correctness, efficiency and user satisfaction when using meta-CASE tools.",what:challenge:process_improving
59,"An experiment with students for assessing a given constraint definition technique in order to improve the correctness, efficiency and user satisfaction when using meta-CASE tools.",what:phase:specification
60,An experiment with students on the inclusion of screen mockups in use cases in order to improve the understandability of functional requirements with no significant impact on effort.,what:challenge:content_understandability
60,An experiment with students on the inclusion of screen mockups in use cases in order to improve the understandability of functional requirements with no significant impact on effort.,what:challenge:process_improving
60,An experiment with students on the inclusion of screen mockups in use cases in order to improve the understandability of functional requirements with no significant impact on effort.,what:documentation:usecases
60,An experiment with students on the inclusion of screen mockups in use cases in order to improve the understandability of functional requirements with no significant impact on effort.,what:information:functional
61,A case study for characterizing natural language processing techniques and compare their support in detecting equivalent requirements.,what:documentation:naturallanguage
62,A method for analyzing product descriptions from publicly available online specifications in order to model and recommend product features for a given domain,what:documentation:featuremodels
63,A method for generating a probabilistic model from a set of requirements in order to verify system requirements at runtime,what:phase:evaluation
63,A method for generating a probabilistic model from a set of requirements in order to verify system requirements at runtime,what:phase:management
64,A method for recovering a feature model from the existing software product line in order to reduce modeling effort,what:documentation:featuremodels
64,A method for recovering a feature model from the existing software product line in order to reduce modeling effort,what:phase:management
65,"A method for performing semi-automated checking of combined natural language and semi-formal requirements models in order to ensure their consistency, completeness and correctness",what:challenge:content_completeness
65,"A method for performing semi-automated checking of combined natural language and semi-formal requirements models in order to ensure their consistency, completeness and correctness",what:challenge:content_consistency
65,"A method for performing semi-automated checking of combined natural language and semi-formal requirements models in order to ensure their consistency, completeness and correctness",what:challenge:process_automation
65,"A method for performing semi-automated checking of combined natural language and semi-formal requirements models in order to ensure their consistency, completeness and correctness",what:documentation:naturallanguage
66,A solution for automatically linking bug reports and committed changes in order to recover missing links,what:challenge:content_traceability
66,A solution for automatically linking bug reports and committed changes in order to recover missing links,what:challenge:process_automation
66,A solution for automatically linking bug reports and committed changes in order to recover missing links,what:phase:management
67,"A method for prioritizing requirements considering several requirements characteristics, such as stakeholder preferences, technical constraints, implementation costs and user perceived value",what:challenge:people_subjectivity
67,"A method for prioritizing requirements considering several requirements characteristics, such as stakeholder preferences, technical constraints, implementation costs and user perceived value",what:challenge:process_prioritization
68,A method for supporting use-case analysis that combines exemplary scenarios and general logical rules in order to allow gradually shifting from examples to the final system specification.,what:documentation:usecases
68,A method for supporting use-case analysis that combines exemplary scenarios and general logical rules in order to allow gradually shifting from examples to the final system specification.,what:information:rules
68,A method for supporting use-case analysis that combines exemplary scenarios and general logical rules in order to allow gradually shifting from examples to the final system specification.,what:information:scenarios
68,A method for supporting use-case analysis that combines exemplary scenarios and general logical rules in order to allow gradually shifting from examples to the final system specification.,what:phase:specification
69,A case study for finding out whether a restricted English grammar can be applied in the automotive context in order to support automatic consistency checking,what:challenge:content_consistency
69,A case study for finding out whether a restricted English grammar can be applied in the automotive context in order to support automatic consistency checking,what:challenge:process_automation
69,A case study for finding out whether a restricted English grammar can be applied in the automotive context in order to support automatic consistency checking,what:documentation:naturallanguage
69,A case study for finding out whether a restricted English grammar can be applied in the automotive context in order to support automatic consistency checking,what:domain:sector_automotive
70,An industrial study based on questionnaires and interviews on the current industry needs concerning methodological support for requirements engineering in the embedded systems domain,what:domain:systemclass_embedded
71,An experiment with students on a method to support creativity in requirements engineering in order to get evidence about its creativity enhancement potential,what:challenge:people_skills
72,A study based on experiments with students and a case study on the possible benefits of considering existing services and their alignment with requirements at a very early stage in order to exploit the desired benefits of reuse in service-oriented architectures,what:challenge:process_standardization
72,A study based on experiments with students and a case study on the possible benefits of considering existing services and their alignment with requirements at a very early stage in order to exploit the desired benefits of reuse in service-oriented architectures,what:phase:management
73,A case study on a requirements engineering improvement project consisting of a set of techniques applied to solve a handful of previously identified RE-related problems,what:challenge:problem
73,A case study on a requirements engineering improvement project consisting of a set of techniques applied to solve a handful of previously identified RE-related problems,what:challenge:process_improving
74,A method for identifying security-relevant requirements integrated in a workflow of requirements analysis in order to increase security awareness within the software development process,what:information:quality_security
74,A method for identifying security-relevant requirements integrated in a workflow of requirements analysis in order to increase security awareness within the software development process,what:phase:analysis
75,A method for analysing requirements on e-services from the service consumer's' perspective in order to make them fit smoothly into the service consumers' business processes,what:phase:analysis
76,A case study for finding out which concepts of agile prioritization are shared in practice and in literature and how they are used to provide guidance for prioritization,what:challenge:process_prioritization
76,A case study for finding out which concepts of agile prioritization are shared in practice and in literature and how they are used to provide guidance for prioritization,what:domain:organization_agile
77,"A document-driven study with practitioners and researchers for investigating if use cases are as effective as task descriptions with respect to completeness, correctness and understandability of emerging requirements",what:challenge:content_completeness
77,"A document-driven study with practitioners and researchers for investigating if use cases are as effective as task descriptions with respect to completeness, correctness and understandability of emerging requirements",what:challenge:content_understandability
77,"A document-driven study with practitioners and researchers for investigating if use cases are as effective as task descriptions with respect to completeness, correctness and understandability of emerging requirements",what:documentation:usecases
78,"An experience report on the use of tools and techniques for systematic elicitation, analysis and documentation of sustainability requirements in order to minimize negative environmental impact of the software under construction",what:information:quality_sustainability
78,"An experience report on the use of tools and techniques for systematic elicitation, analysis and documentation of sustainability requirements in order to minimize negative environmental impact of the software under construction",what:phase:analysis
78,"An experience report on the use of tools and techniques for systematic elicitation, analysis and documentation of sustainability requirements in order to minimize negative environmental impact of the software under construction",what:phase:elicitation
78,"An experience report on the use of tools and techniques for systematic elicitation, analysis and documentation of sustainability requirements in order to minimize negative environmental impact of the software under construction",what:phase:specification
79,A method for identifying groups of similarly optimal solutions in order to support multi-objective decisions problems,what:challenge:problem
79,A method for identifying groups of similarly optimal solutions in order to support multi-objective decisions problems,what:challenge:process_deciding
80,A method for defining efficiently trace links among business application artifacts in order to decrease the developer's workload for setting trace links,what:challenge:content_traceability
80,A method for defining efficiently trace links among business application artifacts in order to decrease the developer's workload for setting trace links,what:documentation:artifacts
81,"An interview-based study with practitioners on communication gaps in large-scale industrial RE revealing scale, temporal aspects, common views, and decision structures as main factors that affect the requirements communication.",what:challenge:people_communication
82,A method for developing specifications in quick iterations of analyzing and refining a formal specification in order to facilitate rapid evolution of specifications of system features.,what:phase:specification
83,A solution for quantifying the consequence of stopping RE too early in order to avoid avoidable scope creep.,what:challenge:content_completeness
84,A method for negotiating requirements induced by the selections of off-the-shelf components in order to prevent a selection of unsuited or inappropriate components,what:phase:analysis
85,An experience report on the state of the practice of requirements engineering in the nuclear energy domain in Finland,what:domain:sector_energy
85,An experience report on the state of the practice of requirements engineering in the nuclear energy domain in Finland,what:region:country_finland
86,A method for simplifying overly complicated requirements in order to identify specification problems,what:challenge:content_understandability
86,A method for simplifying overly complicated requirements in order to identify specification problems,what:challenge:problem
86,A method for simplifying overly complicated requirements in order to identify specification problems,what:phase:specification
87,A method for semi-automatic extraction of feature models from natural language specifications in order to support requirements reuse.,what:challenge:process_automation
87,A method for semi-automatic extraction of feature models from natural language specifications in order to support requirements reuse.,what:challenge:process_standardization
87,A method for semi-automatic extraction of feature models from natural language specifications in order to support requirements reuse.,what:documentation:featuremodels
87,A method for semi-automatic extraction of feature models from natural language specifications in order to support requirements reuse.,what:documentation:naturallanguage
87,A method for semi-automatic extraction of feature models from natural language specifications in order to support requirements reuse.,what:phase:management
88,A multi-case study on prioritization of quality requirements in 11 companies in order to help future research on quality requirements to focus investigations on industry-relevant issues,what:challenge:process_prioritization
88,A multi-case study on prioritization of quality requirements in 11 companies in order to help future research on quality requirements to focus investigations on industry-relevant issues,what:information:quality_all
89,An online-survey on factors that prevent business analysts from applying their requirements analysis knowledge in practice.,what:phase:analysis
90,A method for analyzing cross-references within legal regulations in order to address conflicting requirements.,what:challenge:content_consistency
90,A method for analyzing cross-references within legal regulations in order to address conflicting requirements.,what:challenge:context_regulation
91,A solution for enabling citizens to report problems with or making suggestions for a software system by smartphone in order to identify new requirements.,what:phase:elicitation
92,"A case study on the use of a classification of requirements change sources (e.g., market, organization, specification) in order to support change management, improve understanding and risk visibility.",what:challenge:content_understandability
92,"A case study on the use of a classification of requirements change sources (e.g., market, organization, specification) in order to support change management, improve understanding and risk visibility.",what:challenge:context_uncertainty
92,"A case study on the use of a classification of requirements change sources (e.g., market, organization, specification) in order to support change management, improve understanding and risk visibility.",what:challenge:process_improving
92,"A case study on the use of a classification of requirements change sources (e.g., market, organization, specification) in order to support change management, improve understanding and risk visibility.",what:phase:management
93,A case study on the inability of students to assess whether requirements meet their corresponding legal obligations in order to motivate the need for domain experts and the potential utility of legal requirements metrics.,what:challenge:context_regulation
93,A case study on the inability of students to assess whether requirements meet their corresponding legal obligations in order to motivate the need for domain experts and the potential utility of legal requirements metrics.,what:challenge:people_skills
94,"A solution for extracting logical structures (e.g., use cases, business rules or functional requirements) from rich-text documents written in general-purpose editors, such as MS Word in order to enable advanced requirements management features.",what:documentation:naturallanguage
94,"A solution for extracting logical structures (e.g., use cases, business rules or functional requirements) from rich-text documents written in general-purpose editors, such as MS Word in order to enable advanced requirements management features.",what:documentation:usecases
94,"A solution for extracting logical structures (e.g., use cases, business rules or functional requirements) from rich-text documents written in general-purpose editors, such as MS Word in order to enable advanced requirements management features.",what:information:functional
94,"A solution for extracting logical structures (e.g., use cases, business rules or functional requirements) from rich-text documents written in general-purpose editors, such as MS Word in order to enable advanced requirements management features.",what:information:rules
94,"A solution for extracting logical structures (e.g., use cases, business rules or functional requirements) from rich-text documents written in general-purpose editors, such as MS Word in order to enable advanced requirements management features.",what:phase:management
95,"A multi-case study on assisted requirements tracing, a process in which an analyst validates candidate traces produced by an automated requirements tracing tool.",what:challenge:content_traceability
95,"A multi-case study on assisted requirements tracing, a process in which an analyst validates candidate traces produced by an automated requirements tracing tool.",what:challenge:process_automation
95,"A multi-case study on assisted requirements tracing, a process in which an analyst validates candidate traces produced by an automated requirements tracing tool.",what:phase:evaluation
96,An experience report on the efforts to identify and monitor requirements uncertainty at Rolls-Royce in order to reduce the risk of late rework.,what:challenge:context_uncertainty
96,An experience report on the efforts to identify and monitor requirements uncertainty at Rolls-Royce in order to reduce the risk of late rework.,what:domain:sector_automotive
96,An experience report on the efforts to identify and monitor requirements uncertainty at Rolls-Royce in order to reduce the risk of late rework.,what:phase:management
97,A method for simulating quantitative goal models in order to estimate the levels of goal satisfaction contributed by alternative system designs and optimize the system design.,what:documentation:goalmodels
98,A discussion on applying agile insights to requirements engineering activities in order to optimize allocation of resources to RE activities,what:domain:organization_agile
99,A discussion and solution for examining organizational structures for power relationships in order to support decision-making processes.,what:challenge:people_collaboration
99,A discussion and solution for examining organizational structures for power relationships in order to support decision-making processes.,what:challenge:process_deciding
100,A method for risk assessment in context of security requirements in order to guide the security argumentation in identifying rebuttals and mitigations for security requirements satisfaction.,what:challenge:context_uncertainty
100,A method for risk assessment in context of security requirements in order to guide the security argumentation in identifying rebuttals and mitigations for security requirements satisfaction.,what:information:quality_security
101,A method for analysing requirements for embedded systems in order to separate relevant from irrelevant context elements.,what:domain:systemclass_embedded
101,A method for analysing requirements for embedded systems in order to separate relevant from irrelevant context elements.,what:phase:analysis
102,An experience report on applying component-bus-system-properties in mobile applications in order to refine software requirements to software architectures.,what:domain:sector_mobile
103,A method for relaxing quality or functional requirements that are not crucial to the survival of a web system in order to increase the availability of a specific set of crucial services.,what:domain:sector_it
103,A method for relaxing quality or functional requirements that are not crucial to the survival of a web system in order to increase the availability of a specific set of crucial services.,what:information:functional
103,A method for relaxing quality or functional requirements that are not crucial to the survival of a web system in order to increase the availability of a specific set of crucial services.,what:information:quality_all
104,A method for eliciting requirements for context-adaptive systems based on observing anonymous users in order to increase the representativeness of the requirements.,what:domain:systemclass_adaptive
104,A method for eliciting requirements for context-adaptive systems based on observing anonymous users in order to increase the representativeness of the requirements.,what:phase:elicitation
105,A case study on roles and communication structures in a software team in order to investigate potential improvements of collaborations driven by requirements.,what:challenge:people_collaboration
105,A case study on roles and communication structures in a software team in order to investigate potential improvements of collaborations driven by requirements.,what:challenge:people_communication
105,A case study on roles and communication structures in a software team in order to investigate potential improvements of collaborations driven by requirements.,what:challenge:process_improving
106,A method for automatically constructing models in order to predict which feature requests are most likely to fail due to insufficient or inadequate upfront analysis.,what:challenge:content_all
106,A method for automatically constructing models in order to predict which feature requests are most likely to fail due to insufficient or inadequate upfront analysis.,what:challenge:content_completeness
106,A method for automatically constructing models in order to predict which feature requests are most likely to fail due to insufficient or inadequate upfront analysis.,what:challenge:process_automation
107,"An experience report on using traditional requirements engineering techniques, formal methods, and visual narratives to disambiguate natural language safety requirements of industrial standards.",what:challenge:content_unambiguousness
107,"An experience report on using traditional requirements engineering techniques, formal methods, and visual narratives to disambiguate natural language safety requirements of industrial standards.",what:challenge:context_regulation
107,"An experience report on using traditional requirements engineering techniques, formal methods, and visual narratives to disambiguate natural language safety requirements of industrial standards.",what:challenge:process_visualization
107,"An experience report on using traditional requirements engineering techniques, formal methods, and visual narratives to disambiguate natural language safety requirements of industrial standards.",what:documentation:naturallanguage
107,"An experience report on using traditional requirements engineering techniques, formal methods, and visual narratives to disambiguate natural language safety requirements of industrial standards.",what:information:quality_safety
