PaperID,lfdn,reasoning
323,80,Will enable upfront proof and a way to measure in practice. Confidence to the team and the client.
324,11,"Misunderstandings and interpretations often lead to requirements defects. This effect could possibly be reduced by such a method. Furthermore, the effort for transformation can be significantly reduced."
327,120,It can antecipate risks in the decision making and eventually avoid to elect unadequate requirements to be implemented
330,37,prioritizing requirements is one of the most challenging tasks for REs 
335,53,"The conflict point is IT security - one party wants simple access, the other party wants to close the door with seven locks."
339,62,Collaborative Requirements Engineering becomes very important as system complexity and multi-disciplinary engineering increases. Communication is essential in this paradigm shift away from isolated Requirements Specification by a few Req Engineers
340,8,This is the future way of development. And there is no process etc. on the market which could solve this topic
342,68,"I feel that risk management is not always systematically performed, and it's results flown into requirements. A more integrated RM/RE approach would be useful to force structured activity performing and automate results conversion to requirements/actions."
344,45,"Writing specs and requirements needs a big amount of time in projects. If you have a good spec at the end why not using the whole spec or parts again in case there is a good approach. Often a good, existing spec is taken, but not according a real concept."
347,47,Unanticipated behaviour can occur very late after the system design it could be useful to identify them well in advance
347,145,"one of the most insidious defects in software is a system being in an illegal state.  hard to find in testing, it tends to appear randomly."
350,13,"SoSs are typically highly complex and without a model-driven process it will be difficult, if not impossible, to provide comprehensive validation"
354,82,I think the significant functional requirements are needed for identifying categories of probing questions.
362,54,Could be a strong boost to ease specification of features
364,17,last word in the descriptioni:  Communication : the most important thing that BAs and PMs do!
364,123,There is a tension between RE rigour and agile; understanding how this might be addressed in practice is critical for the future of RE
370,149,"Visual representation is worth a 1000 words, and nobody wants to read 1000 words. Requirements evolve and this is often missed."
372,12,Provide a lead in architecture definition 
375,93,I think an interview-based study can contribute to understanding about this theme. I believe the method is suitable in this context and can contribute a lot.I performed a qualitative study based on interviews and this study help me in my PhD research.
383,36,Performance ist always a very subjective requirement and thus specification is difficult. Many tools exist to monitor and test performance. However the right method and process to apply are difficult to define. 
383,147,It could help to identify the characteristics of the hardware that it will be necesary to install or test for running the project
384,132,"Next release planning is criticl decision to make, thus, having a rational method to analyse the risks with all stakeholders are always important. "
387,144,Currently we have many projects looking for innovation 
389,58,To avoid rework and not-fit-for-purpose solutions on delivery
392,119,Techniques to better integrate product managers and business stakeholders with agile team dynamics are very much needed.
399,30,The people who pay the bills don't always consider all the impact changes can make. having a way to prove what you are recommending is worth while.
403,75,"Traceability is the base for analysis, prediction,... and a big challenge in many companies. If no traceability, no capacity to take the most of analyzing what is done."
407,7,It is a problem practitioners struggle with
413,20,"Practical problem, where I would love to know the outcome "
415,115,"Use of automation for processing large models really helps practitioners, saving time and allowing them to work more carefully in refinements (rather than on simple issues that would be caught easily by algorithms)"
